"","D_AGE_C","D_AGE_C2","D_MALE","D_FIRSTB","D_MOMCOL","D_AGESEX","D_AG2SEX"
"S_CONJ",1,0,0,0,0,0,0
"S_HELPV",1,0,0,0,0,0,0
"S_PRON",1,0,0,0,0,0,0
"S_QUANT",1,0,0,0,0,0,0
"S_QWORDS",1,0,0,0,0,0,0
"S_TIME",1,0,0,1,0,1,0
"S_WF_N",1,1,0,1,0,0,0
"S_WF_V",1,0,0,0,0,0,0
"S_WE_N",1,0,0,0,1,0,0
"S_WE_V",1,0,0,1,1,0,0
"S_COMPLX",1,0,1,0,1,0,0
