     0.000     0.000     0.040     0.000     0.000     0.000     0.200     0.000     0.000     0.000     0.000    23.000    -1.000    -1.000129284.000     3.292
     0.167     0.048     0.120     0.000     0.000     0.167     0.200     0.050     0.000     0.000     0.054    20.000    -1.000    -1.000129285.000     3.424
     0.167     0.238     0.280     0.176     0.286     0.250     0.400     0.300     0.500     0.032     0.243    28.000     1.000    -1.000129286.000     4.756
     0.333     0.476     0.240     0.353     0.143     0.000     0.600     0.450     0.357     0.065     0.054    22.000     1.000    -1.000129287.000     4.625
     0.000     0.000     0.000     0.000     0.000     0.000     0.400     0.000     0.357     0.000     0.054    30.000     1.000    -1.000129288.000     3.736
     0.000     0.000     0.160     0.059     0.143     0.083     0.200     0.050     0.000     0.000     0.081    25.000    -1.000    -1.000129289.000     3.721
     0.167     0.238     0.640     0.176     0.714     0.333     0.000     0.100     0.286     0.032     0.108    23.000     1.000    -1.000129290.000     4.744
     0.000     0.000     0.040     0.118     0.000     0.167     0.400     0.000     0.000     0.000     0.027    21.000     1.000    -1.000129291.000     3.393
     0.000     0.238     0.200     0.000     0.000     0.250     0.200     0.000     0.000     0.032     0.081    23.000    -1.000    -1.000129292.000     3.742
     0.000     0.000     0.360     0.412     0.000     0.083     0.000     0.000     0.000     0.000     0.000    24.000    -1.000    -1.000129293.000     4.030
     0.000     0.000     0.000     0.059     0.000     0.000     0.200     0.000     0.000     0.000     0.000    23.000    -1.000    -1.000129294.000     3.308
     0.000     0.000     0.080     0.059     0.000     0.000     0.400     0.000     0.000     0.032     0.000    19.000    -1.000    -1.000129295.000     3.199
     0.000     0.000     0.000     0.000     0.000     0.000     0.600     0.000     0.143     0.032     0.135    27.000     1.000    -1.000129296.000     3.610
     0.000     0.143     0.160     0.235     0.286     0.333     0.400     0.050     0.000     0.000     0.135    28.000     1.000    -1.000129297.000     4.341
     0.000     0.000     0.160     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    28.000    -1.000    -1.000129298.000     3.654
     0.000     0.190     0.320     0.176     0.286     0.000     0.600     0.150     0.214     0.000     0.000    27.000    -1.000    -1.000129299.000     4.337
     0.000     0.000     0.040     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    17.000    -1.000    -1.000129300.000     2.925
     0.000     0.190     0.280     0.118     0.000     0.000     0.200     0.050     0.071     0.000     0.027    27.000    -1.000    -1.000129301.000     4.014
     0.000     0.000     0.000     0.000     0.000     0.167     0.000     0.100     0.000     0.000     0.108    28.000     1.000    -1.000129302.000     3.670
     0.000     0.000     0.080     0.059     0.000     0.000     0.000     0.000     0.000     0.000     0.000    18.000     1.000    -1.000129303.000     3.061
     0.667     0.524     0.640     0.588     0.857     1.000     0.400     0.550     0.214     0.000     0.432    30.000     1.000    -1.000129304.000     6.679
     0.667     0.762     0.880     0.824     0.857     0.917     0.600     0.550     0.143     0.000     0.622    29.000     1.000    -1.000129305.000     7.262
     0.000     0.000     0.120     0.176     0.143     0.000     0.000     0.150     0.000     0.000     0.000    29.000    -1.000    -1.000129306.000     3.972
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    23.000    -1.000    -1.000129307.000     3.224
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    18.000     1.000    -1.000129308.000     2.932
     0.000     0.000     0.040     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    24.000    -1.000    -1.000129309.000     3.317
     0.333     0.286     0.400     0.529     0.000     0.583     0.800     0.300     0.000     0.000     0.649    29.000    -1.000    -1.000129310.000     5.546
     0.167     0.143     0.160     0.235     0.143     0.083     0.200     0.050     0.000     0.000     0.027    25.000     1.000    -1.000129311.000     4.003
     1.000     0.952     1.000     1.000     1.000     1.000     0.400     1.000     0.000     0.065     0.541    30.000     1.000    -1.000129312.000     8.135
     0.333     0.286     0.400     0.294     1.000     0.500     0.600     0.250     0.143     0.161     0.000    25.000     1.000    -1.000129313.000     5.168
     1.000     0.000     0.280     0.000     0.000     0.333     1.000     0.000     0.000     0.000     0.108    21.000    -1.000    -1.000129314.000     4.136
     0.000     0.048     0.240     0.000     0.143     0.000     0.200     0.000     0.000     0.000     0.000    24.000    -1.000    -1.000129315.000     3.616
     0.000     0.143     0.200     0.176     0.143     0.333     0.800     0.400     0.143     0.000     0.108    28.000     1.000    -1.000129316.000     4.553
     0.667     0.619     0.560     0.647     0.714     0.667     0.400     0.600     0.000     0.161     0.595    26.000     1.000    -1.000129317.000     6.394
     0.000     0.000     0.080     0.118     0.143     0.083     0.000     0.050     0.000     0.000     0.000    29.000    -1.000    -1.000129318.000     3.860
     0.000     0.000     0.000     0.059     0.000     0.000     0.000     0.000     0.000     0.000     0.000    21.000     1.000    -1.000129319.000     3.154
     1.000     0.905     0.400     0.765     0.143     0.583     0.600     1.000     0.000     0.161     0.649    23.000     1.000    -1.000129320.000     6.539
     0.000     0.000     0.080     0.000     0.000     0.000     0.000     0.050     0.000     0.000     0.108    27.000     1.000    -1.000129321.000     3.583
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.459    25.000    -1.000    -1.000129322.000     8.353
     0.000     0.000     0.000     0.000     0.143     0.083     0.000     0.050     0.000     0.000     0.000    20.000    -1.000    -1.000129323.000     3.175
     0.000     0.048     0.160     0.176     0.286     0.000     0.200     0.100     0.286     0.000     0.324    28.000     1.000    -1.000129324.000     4.188
     0.167     0.143     0.240     0.176     0.286     0.333     0.400     0.300     0.143     0.097     0.595    22.000     1.000    -1.000129325.000     4.468
     0.000     0.238     0.360     0.412     0.571     0.250     0.400     0.350     0.357     0.258     0.486    29.000     1.000    -1.000129326.000     5.300
     0.500     0.571     0.520     0.412     0.857     0.500     0.400     0.700     0.643     0.000     0.351    28.000    -1.000    -1.000129327.000     6.153
     0.000     0.095     0.160     0.235     0.143     0.083     0.000     0.050     0.000     0.000     0.027    21.000     1.000    -1.000129328.000     3.651
     0.000     0.048     0.120     0.176     0.143     0.000     0.000     0.050     0.071     0.000     0.000    27.000    -1.000    -1.000129329.000     3.840
     0.167     0.000     0.120     0.176     0.143     0.083     0.400     0.250     0.000     0.000     0.405    25.000     1.000    -1.000129330.000     4.121
     0.167     0.429     0.080     0.000     0.000     0.083     0.200     0.000     0.000     0.000     0.000    17.000     1.000    -1.000129331.000     3.348
     0.000     0.000     0.200     0.176     0.429     0.417     0.200     0.150     0.000     0.000     0.297    25.000     1.000    -1.000129332.000     4.251
     0.333     0.524     0.320     0.353     0.714     0.167     0.800     1.000     0.214     0.065     0.730    30.000    -1.000    -1.000129333.000     6.066
     0.000     0.095     0.360     0.176     0.429     0.000     0.000     0.000     0.000     0.000     0.108    26.000     1.000    -1.000129334.000     4.131
     0.333     0.238     0.320     0.176     0.857     0.250     0.400     0.150     0.357     0.161     0.108    25.000    -1.000    -1.000129335.000     4.784
     0.500     0.238     0.280     0.235     0.429     0.833     0.400     0.300     0.429     0.323     0.595    24.000     1.000    -1.000129336.000     5.248
     0.000     0.048     0.160     0.294     0.429     0.083     0.400     0.100     0.071     0.000     0.000    18.000     1.000    -1.000129337.000     3.700
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    18.000     1.000    -1.000129338.000     2.932
     0.000     0.000     0.120     0.176     0.143     0.000     0.400     0.050     0.143     0.000     0.000    21.000    -1.000    -1.000129339.000     3.547
     0.000     0.000     0.080     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    22.000     1.000    -1.000129340.000     3.232
     0.167     0.000     0.040     0.118     0.286     0.167     0.400     0.050     0.000     0.000     0.054    27.000    -1.000    -1.000129341.000     3.951
     0.000     0.000     0.120     0.000     0.000     0.000     0.400     0.000     0.000     0.000     0.000    21.000     1.000    -1.000129342.000     3.275
     0.000     0.095     0.160     0.118     0.143     0.083     0.000     0.050     0.000     0.000     0.027    20.000    -1.000    -1.000129343.000     3.500
     0.000     0.190     0.640     0.235     0.286     0.000     0.400     0.200     0.143     0.000     0.270    24.000    -1.000    -1.000129344.000     4.617
     0.667     0.714     0.960     0.706     0.857     1.000     0.600     0.900     0.214     0.097     0.703    29.000    -1.000    -1.000129345.000     7.527
     0.000     0.000     0.120     0.118     0.286     0.083     0.400     0.100     0.000     0.000     0.081    25.000    -1.000    -1.000129346.000     3.848
     0.000     0.143     0.160     0.059     0.143     0.167     0.400     0.050     0.000     0.000     0.189    19.000    -1.000    -1.000129347.000     3.582
     0.167     0.048     0.080     0.000     0.000     0.000     0.400     0.050     0.000     0.000     0.027    27.000     1.000    -1.000129348.000     3.711
     0.000     0.048     0.160     0.059     0.000     0.000     0.400     0.050     0.000     0.000     0.027    24.000     1.000    -1.000129349.000     3.603
     0.333     0.095     0.240     0.176     0.429     0.000     0.400     0.100     0.000     0.000     0.514    27.000     1.000    -1.000129350.000     4.489
     0.000     0.571     0.000     0.000     0.000     0.000     0.400     0.150     0.000     0.097     0.243    29.000     1.000    -1.000129351.000     4.164
     0.000     0.000     0.200     0.000     0.000     0.000     0.400     0.000     0.071     0.000     0.081    20.000    -1.000    -1.000129352.000     3.347
     0.000     0.143     0.200     0.176     0.143     0.167     0.200     0.100     0.000     0.000     0.000    27.000     1.000    -1.000129353.000     4.088
     0.000     0.095     0.080     0.118     0.000     0.000     0.400     0.050     0.000     0.032     0.027    22.000     1.000    -1.000129354.000     3.507
     0.000     0.000     0.040     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    17.000     1.000    -1.000129355.000     2.914
     0.667     0.524     0.320     0.176     0.571     0.333     0.600     0.900     0.214     0.065     0.486    27.000     1.000    -1.000129356.000     5.706
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    19.000     1.000    -1.000129357.000     2.988
     0.000     0.095     0.160     0.059     0.143     0.417     0.400     0.000     0.000     0.000     0.000    28.000    -1.000    -1.000129358.000     4.069
     0.000     0.095     0.240     0.176     0.429     0.000     0.600     0.050     0.429     0.097     0.108    25.000    -1.000    -1.000129359.000     4.182
     0.000     0.143     0.120     0.235     0.143     0.250     0.400     0.250     0.000     0.032     0.054    23.000    -1.000    -1.000129360.000     4.042
     0.000     0.048     0.040     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    22.000     1.000    -1.000129361.000     3.223
     0.000     0.095     0.360     0.471     0.286     0.000     0.200     0.050     0.000     0.000     0.000    29.000    -1.000    -1.000129362.000     4.545
     0.000     0.190     0.160     0.235     0.286     0.083     0.400     0.200     0.071     0.032     0.000    20.000     1.000    -1.000129363.000     3.862
     0.167     0.000     0.160     0.059     0.286     0.167     0.200     0.100     0.000     0.000     0.135    22.000     1.000    -1.000129364.000     3.750
     0.000     0.048     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    20.000     1.000    -1.000129365.000     3.073
     0.333     0.619     0.440     0.471     0.571     0.583     0.400     0.550     0.357     0.129     0.135    27.000    -1.000    -1.000129366.000     5.796
     0.000     0.000     0.040     0.000     0.000     0.000     0.200     0.000     0.000     0.000     0.000    21.000    -1.000    -1.000129367.000     3.180
