"Identifiers","demographics,CandID","demographics_eligibility,parent1_education","demographics_eligibility,parent1_relationship","demographics_eligibility,parent2_education","demographics_eligibility,parent2_relationship"
"JE000157_05,bcpBSLERP4x6m","888211","some_college","biological_mother","college","non_specified"
"JE000157_05,bcpBSLERP4x9m","888211",".",".",".","."
"JE000162_02,bcpBiomomVisit1","818651",".",".",".","."
"JE000162_04,bcpBSLERP2x10m","243511",".",".",".","."
"JE000162_04,bcpBSLERP2x13m","243511",".",".",".","."
"JE000162_04,bcpBSLERP2x18m","243511",".",".",".","."
"JE000162_04,bcpBSLERP2x24m","243511",".",".",".","."
"JE000162_04,bcpBSLERP2x30m","243511",".",".",".","."
"JE000162_04,bcpBSLERP2x4m","243511","grad","biological_mother","grad","biological_father"
"JE000162_04,bcpBSLERP2x7m","243511",".",".",".","."
"JE000168_02,bcpBiomomVisit1","588493",".",".",".","."
"JE000172_05,bcpBSLERP3x5m","986114","college","biological_mother","college","non_specified"
"JE000173_02,bcpBiomomVisit1","669683",".",".",".","."
"JE000173_03,bcpBSLERP1x12m","810675",".",".",".","."
"JE000173_03,bcpBSLERP1x18m","810675",".",".",".","."
"JE000173_03,bcpBSLERP1x24m","810675",".",".",".","."
"JE000173_03,bcpBSLERP1x3m","810675","some_grad","biological_mother","college","biological_father"
"JE000173_03,bcpBSLERP1x6m","810675",".",".",".","."
"JE000173_03,bcpBSLERP1x9m","810675",".",".",".","."
"JE000191_01,bcpParent2Visit1","842218",".",".",".","."
"JE000191_02,bcpBiomomVisit1","387589",".",".",".","."
"JE000191_05,bcpBSLERP1x12m","334324",".",".",".","."
"JE000191_05,bcpBSLERP1x18m","334324",".",".",".","."
"JE000191_05,bcpBSLERP1x24m","334324",".",".",".","."
"JE000191_05,bcpBSLERP1x30m","334324",".",".",".","."
"JE000191_05,bcpBSLERP1x3m","334324","some_grad","biological_mother","grad","biological_father"
"JE000191_05,bcpBSLERP1x6m","334324",".",".",".","."
"JE000191_05,bcpBSLERP1x9m","334324",".",".",".","."
"JE000192_01,bcpParent2Visit1","152610",".",".",".","."
"JE000192_02,bcpBiomomVisit1","586486",".",".",".","."
"JE000208_01,bcpParent2Visit1","487620",".",".",".","."
"JE000208_02,bcpBiomomVisit1","369289",".",".",".","."
"JE000208_03,bcpBSLERP4x12m","425428",".",".",".","."
"JE000208_03,bcpBSLERP4x18m","425428",".",".",".","."
"JE000208_03,bcpBSLERP4x24m","425428",".",".",".","."
"JE000208_03,bcpBSLERP4x30m","425428",".",".",".","."
"JE000208_03,bcpBSLERP4x6m","425428","college","biological_mother","college","non_specified"
"JE000208_03,bcpBSLERP4x9m","425428",".",".",".","."
"JE000209_04,bcpBSLERP2x4m","758451","not_answered","biological_mother","not_answered","non_specified"
"JE000211_03,bcpBSLERP2x10m","760812",".",".",".","."
"JE000211_03,bcpBSLERP2x13m","760812",".",".",".","."
"JE000211_03,bcpBSLERP2x18m","760812",".",".",".","."
"JE000211_03,bcpBSLERP2x24m","760812",".",".",".","."
"JE000211_03,bcpBSLERP2x30m","760812",".",".",".","."
"JE000211_03,bcpBSLERP2x4m","760812","college","biological_mother","college","nonbio_mother"
"JE000211_03,bcpBSLERP2x7m","760812",".",".",".","."
"JE000212_02,bcpBiomomVisit1","606376",".",".",".","."
"JE000212_05,bcpBSLERP3x11m","222881",".",".",".","."
"JE000212_05,bcpBSLERP3x14m","222881",".",".",".","."
"JE000212_05,bcpBSLERP3x18m","222881",".",".",".","."
"JE000212_05,bcpBSLERP3x24m","222881",".",".",".","."
"JE000212_05,bcpBSLERP3x30m","222881",".",".",".","."
"JE000212_05,bcpBSLERP3x5m","222881","grad","biological_mother","college","biological_father"
"JE000212_05,bcpBSLERP3x8m","222881",".",".",".","."
"JE000214_04,bcpBSLERP3x11m","262208",".",".",".","."
"JE000214_04,bcpBSLERP3x14m","262208",".",".",".","."
"JE000214_04,bcpBSLERP3x18m","262208",".",".",".","."
"JE000214_04,bcpBSLERP3x24m","262208",".",".",".","."
"JE000214_04,bcpBSLERP3x30m","262208",".",".",".","."
"JE000214_04,bcpBSLERP3x5m","262208","grad","biological_mother","grad","biological_father"
"JE000214_04,bcpBSLERP3x8m","262208",".",".",".","."
"JE000215_02,bcpBiomomVisit1","753865",".",".",".","."
