demo.CandID,demo.age_bin,sounds,animals,vehicles,toys,food,clothing,body,items,furniture,outside,places,people,games,actions,descriptive,time,pronouns,questions,prepositions,quant,helping,connecting,WORD_FORMS_NOUNS,WORD_FORMS_VERBS,WORD_ENDINGS_NOUNS,WORD_ENDINGS_VERBS,COMPLEXITY
11228,18,0.8333333333333334,0.3953488372093023,0.5,0.2777777777777778,0.20588235294117646,0.21428571428571427,0.48148148148148145,0.14,0.12121212121212122,0.0967741935483871,0.09090909090909091,0.3793103448275862,0.28,0.06796116504854369,0.07936507936507936,0.08333333333333333,0.16,0,0.07692307692307693,0.11764705882352941,0,0,0.4,0.05,0.07142857142857142,0,0.21621621621621623
17541,22,0.4166666666666667,0.18604651162790697,0.14285714285714285,0.1111111111111111,0.11764705882352941,0.25,0.14814814814814814,0.2,0.06060606060606061,0.03225806451612903,0.09090909090909091,0.2413793103448276,0.28,0.038834951456310676,0.09523809523809523,0.08333333333333333,0.08,0,0.11538461538461539,0,0,0,0,0,0,0,0
51407,18,0.5833333333333334,0.11627906976744186,0.14285714285714285,0.1111111111111111,0.08823529411764706,0.14285714285714285,0.07407407407407407,0.06,0,0.03225806451612903,0.045454545454545456,0.2413793103448276,0.36,0.019417475728155338,0.031746031746031744,0,0,0,0,0.058823529411764705,0,0,0,0,0,0,0
52977,20,1,0.9534883720930233,0.8571428571428571,0.8333333333333334,0.5735294117647058,0.5,0.8518518518518519,0.46,0.6666666666666666,0.6129032258064516,0.36363636363636365,0.5517241379310345,0.92,0.6504854368932039,0.6190476190476191,0.08333333333333333,0.12,0.2857142857142857,0.23076923076923078,0.17647058823529413,0.09523809523809523,0,0.4,0,0,0.03225806451612903,0.3783783783783784
52977,26,1,1,0.9285714285714286,0.8888888888888888,0.7941176470588235,0.6428571428571429,0.8888888888888888,0.8,0.7878787878787878,0.8709677419354839,0.5909090909090909,0.7931034482758621,1,0.912621359223301,0.873015873015873,0.9166666666666666,0.48,0.7142857142857143,0.5384615384615384,0.17647058823529413,0.23809523809523808,0.16666666666666666,0.4,0.15,0,0,0.6486486486486487
107842,25,0.9166666666666666,0.11627906976744186,0.5714285714285714,0.2777777777777778,0.17647058823529413,0.25,0.037037037037037035,0.06,0,0.25806451612903225,0,0.2413793103448276,0.4,0.07766990291262135,0.15873015873015872,0,0.04,0.42857142857142855,0.15384615384615385,0.058823529411764705,0.047619047619047616,0,0,0.05,0,0,0
111521,29,1,0.7674418604651163,0.8571428571428571,0.9444444444444444,0.8382352941176471,0.75,0.8888888888888888,0.72,0.7575757575757576,0.8387096774193549,0.5,0.6206896551724138,0.84,0.7669902912621359,0.7619047619047619,0.3333333333333333,0.48,0.5714285714285714,0.6538461538461539,0.5882352941176471,0.3333333333333333,0.3333333333333333,0,0,0,0,0
116056,30,1,0.9767441860465116,0.9285714285714286,1,0.9117647058823529,0.8928571428571429,1,0.94,0.9393939393939394,1,0.8181818181818182,0.9655172413793104,0.92,0.9514563106796117,0.9682539682539683,0.5833333333333334,0.48,1,0.5,0.17647058823529413,0.5714285714285714,0.16666666666666666,0.8,0.6,0,0,1
116845,30,0.9166666666666666,0.6976744186046512,0.6428571428571429,0.8333333333333334,0.6323529411764706,0.6785714285714286,0.8148148148148148,0.7,0.3939393939393939,0.41935483870967744,0.45454545454545453,0.4482758620689655,0.76,0.4854368932038835,0.47619047619047616,0,0.08,0.42857142857142855,0.07692307692307693,0.058823529411764705,0.09523809523809523,0,0.2,0.1,0.14285714285714285,0.16129032258064516,0.4594594594594595
124529,25,0.75,0.4418604651162791,0.7857142857142857,0.3333333333333333,0.38235294117647056,0.5,0.8518518518518519,0.44,0.3333333333333333,0.3870967741935484,0.13636363636363635,0.27586206896551724,0.68,0.32038834951456313,0.15873015873015872,0,0.04,0,0.2692307692307692,0.058823529411764705,0.047619047619047616,0,0.6,0.1,0,0.03225806451612903,0.10810810810810811
