MR1,MR2
0.9150024742742072,-0.1976254715306428
1.0049689369502441,-0.06185209921929902
1.0156784816597224,-0.09703057757299677
0.9552779573996155,0.010691372003331423
0.9310426235432082,0.05647970935615909
0.8962607623811105,0.08822235050514354
1.0447038507051252,-0.11897782750476249
0.8968373044603392,0.09622637205175405
0.7857644749133581,0.21463820110245835
0.8568430156368771,0.13973100187938237
0.6719273229744237,0.3284172127979532
0.6370615444967869,0.36205475646936186
0.9058594481112174,0.038603682233254666
0.6775334058651838,0.3342443181991421
0.6459492572382524,0.3707302191176942
0.20797149329005699,0.7412528794659565
0.20842685681559603,0.7683510347253002
0.16250029505734015,0.7449855296489611
0.39304066733056453,0.6109528994816347
0.17732671861167915,0.7910789480302316
0.08339436169511999,0.8748422077239068
-0.08912334891348694,0.9061470637693037
0.2108499166930047,0.5426548213594957
-0.12435064007710095,0.9789907509990384
-0.015162742622818692,0.4628358937880617
-0.15299470195205955,0.6691348418310816
0.028141044793020153,0.8308137475730915
