MR1,MR3,MR2
-0.03349468650503262,0.8544895626687142,-0.0616708092842293
0.5742322018438775,0.4141671062139267,-0.1516994860594622
0.7439131930528156,0.1618148573313366,-0.2710606733274047
0.30149371288210697,0.6212191398563717,-0.1427257977512314
0.6546014202966642,0.3642969250911797,-0.10819154031922174
0.8100421087332583,0.18842280946249607,-0.1278044452094359
0.7348625647353227,0.23750996806968813,-0.0659266780361978
1.0633733311599352,-0.20105002814741155,0.03241107307244537
0.9120113866221159,0.07518830520646902,-0.05112336853992226
0.9265174711729679,0.02537459890864005,-0.06118979826888213
0.09458350978961705,0.7233869390075509,0.06783633619496568
0.08920851515171557,0.8239423142952531,0.1357695953912558
0.869073527886165,-0.03983206168898006,0.27944699359472025
0.6295844591577642,-0.03055638307581854,0.40488046972442476
0.7624124125752157,0.10513867601217988,0.26149196862881025
0.17952046690187523,0.4910974636122929,0.36786896901708377
0.14148022280734346,0.3144233982037574,0.536105054665279
0.6302214235165986,0.20426608931604623,0.12435897879492394
0.5106364726603445,0.20885039102991632,0.3125358655830063
