data_id,age,lex,syn,SUM,lex.p,syn.p
2081,12,23,0,23,0.04,0
11228,12,16,0,16,0.02782608695652174,0
11228,15,40,0,40,0.06956521739130435,0
17541,13,8,0,8,0.01391304347826087,0
51407,12,4,0,4,0.006956521739130435,0
51407,15,5,0,5,0.008695652173913044,0
52977,14,35,1,36,0.06086956521739131,0.005714285714285714
52977,17,102,10,112,0.17739130434782607,0.05714285714285714
62519,12,2,0,2,0.0034782608695652175,0
100619,17,14,0,14,0.02434782608695652,0
100619,23,305,50,355,0.5304347826086957,0.2857142857142857
105040,12,14,0,14,0.02434782608695652,0
105040,18,161,30,191,0.28,0.17142857142857143
107008,12,7,0,7,0.01217391304347826,0
107008,15,13,0,13,0.022608695652173914,0
107842,19,46,3,49,0.08,0.017142857142857144
111521,17,57,1,58,0.09913043478260869,0.005714285714285714
115072,12,14,0,14,0.02434782608695652,0
116056,12,3,0,3,0.0052173913043478265,0
116056,18,29,0,29,0.050434782608695654,0
116056,24,280,50,330,0.48695652173913045,0.2857142857142857
116845,18,17,0,17,0.029565217391304348,0
124529,19,46,4,50,0.08,0.022857142857142857
125632,13,7,1,8,0.01217391304347826,0.005714285714285714
125632,18,16,0,16,0.02782608695652174,0
131015,14,14,0,14,0.02434782608695652,0
131015,18,20,0,20,0.034782608695652174,0
131015,24,115,16,131,0.2,0.09142857142857143
132476,12,0,0,0,0,0
132476,15,0,0,0,0,0
137012,13,0,0,0,0,0
137012,16,10,0,10,0.017391304347826087,0
138813,13,9,0,9,0.01565217391304348,0
138813,18,28,0,28,0.04869565217391304,0
138813,24,171,27,198,0.29739130434782607,0.15428571428571428
147207,12,3,0,3,0.0052173913043478265,0
148796,17,74,7,81,0.12869565217391304,0.04
157075,17,178,12,190,0.3095652173913043,0.06857142857142857
176427,11,1,0,1,0.0017391304347826088,0
176427,14,14,0,14,0.02434782608695652,0
176427,18,48,4,52,0.08347826086956522,0.022857142857142857
176427,24,256,47,303,0.44521739130434784,0.26857142857142857
176851,20,45,3,48,0.0782608695652174,0.017142857142857144
176851,26,107,23,130,0.18608695652173912,0.13142857142857142
185373,20,75,9,84,0.13043478260869565,0.05142857142857143
189896,14,0,0,0,0,0
189896,17,15,0,15,0.02608695652173913,0
198202,11,3,0,3,0.0052173913043478265,0
198202,14,22,0,22,0.03826086956521739,0
198202,18,79,1,80,0.1373913043478261,0.005714285714285714
198549,13,18,2,20,0.03130434782608696,0.011428571428571429
198549,24,244,37,281,0.42434782608695654,0.21142857142857144
199865,12,8,0,8,0.01391304347826087,0
199865,15,39,2,41,0.06782608695652174,0.011428571428571429
199865,18,101,13,114,0.17565217391304347,0.07428571428571429
200474,12,2,0,2,0.0034782608695652175,0
200474,15,3,0,3,0.0052173913043478265,0
204659,13,7,0,7,0.01217391304347826,0
204659,16,24,0,24,0.04173913043478261,0
204659,19,100,15,115,0.17391304347826086,0.08571428571428572
204659,22,214,35,249,0.37217391304347824,0.2
209364,18,27,5,32,0.04695652173913043,0.02857142857142857
222881,11,6,0,6,0.010434782608695653,0
222881,18,40,1,41,0.06956521739130435,0.005714285714285714
223008,13,8,0,8,0.01391304347826087,0
223008,18,23,0,23,0.04,0
223008,24,130,16,146,0.22608695652173913,0.09142857142857143
223244,14,12,0,12,0.020869565217391306,0
229768,14,10,1,11,0.017391304347826087,0.005714285714285714
229768,18,62,2,64,0.10782608695652174,0.011428571428571429
229768,24,283,48,331,0.49217391304347824,0.2742857142857143
231205,12,6,0,6,0.010434782608695653,0
231205,18,21,0,21,0.036521739130434785,0
231205,24,84,9,93,0.14608695652173914,0.05142857142857143
