ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_MALE	D_AGE_C2
131385	0.854368932038835	0.930232558139535	0.925925925925926	0.821428571428571	0.920634920634921	0.852941176470588	0.757575757575758	0.96	0.9	0.461538461538462	0.806451612903226	0.724137931034483	0.636363636363636	1	1	0.785714285714286	4	-1	16
131961	0.553398058252427	0.27906976744186	0.851851851851852	0.5	0.682539682539683	0.558823529411765	0.484848484848485	0.64	0.58	0.269230769230769	0.483870967741935	0.344827586206897	0.363636363636364	0.666666666666667	0.666666666666667	0.785714285714286	1	1	1
133712	0.0194174757281553	0	0.0740740740740741	0	0	0.0294117647058824	0	0.24	0.02	0.0769230769230769	0	0	0	0.5	0.166666666666667	0	-7	-1	49
133713	0	0.0930232558139535	0	0	0.0158730158730159	0	0	0.08	0	0	0	0.172413793103448	0	0.416666666666667	0.0555555555555556	0	-7	-1	49
133714	0.0194174757281553	0.186046511627907	0.111111111111111	0.0714285714285714	0.0317460317460317	0.132352941176471	0.0606060606060606	0.32	0.12	0.0769230769230769	0.0645161290322581	0.172413793103448	0	0.416666666666667	0.333333333333333	0	-7	1	49
133715	0	0.116279069767442	0	0	0	0.0588235294117647	0	0	0	0	0	0.0689655172413793	0	0.166666666666667	0.111111111111111	0	-7	-1	49
133716	0	0.116279069767442	0.037037037037037	0.0357142857142857	0	0.0441176470588235	0	0.08	0.02	0	0.032258064516129	0.0689655172413793	0	0.166666666666667	0.111111111111111	0.142857142857143	-7	1	49
133717	0	0.116279069767442	0.037037037037037	0.0357142857142857	0	0.0294117647058824	0	0.04	0.04	0.0384615384615385	0	0.0689655172413793	0	0.333333333333333	0.111111111111111	0.0714285714285714	-7	-1	49
133718	0.0485436893203883	0.116279069767442	0.148148148148148	0.0357142857142857	0.0952380952380952	0.0735294117647059	0	0.28	0.1	0.307692307692308	0.0645161290322581	0.241379310344828	0.0454545454545455	0.333333333333333	0.111111111111111	0	-7	-1	49
133719	0.0194174757281553	0.27906976744186	0.185185185185185	0.25	0.0317460317460317	0.161764705882353	0.0303030303030303	0.16	0.1	0.0769230769230769	0.032258064516129	0.103448275862069	0.0454545454545455	0.833333333333333	0.222222222222222	0.214285714285714	-7	1	49
133720	0.0194174757281553	0.116279069767442	0.111111111111111	0.0357142857142857	0.0634920634920635	0.0441176470588235	0	0.2	0	0.0769230769230769	0.0645161290322581	0.137931034482759	0	0.416666666666667	0.166666666666667	0.0714285714285714	-7	1	49
