demo.CandID,de.Administration,de.Date_taken,de.Examiner,de.language1_parent1,de.language1_parent1_pct,de.language1_parent2,de.language1_parent2_pct,de.language2_parent1,de.language2_parent1_pct,de.language2_parent2,de.language3_parent1,de.language3_parent1_pct,de.language3_parent2
879509,All,2017-02-27,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978698,All,2017-03-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295081,All,2017-03-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878949,All,2017-03-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376673,All,2017-03-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704148,All,2017-03-12,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824479,All,2017-03-15,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200919,All,2017-03-16,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469900,All,2017-03-19,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645257,All,2017-04-25,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816406,All,2017-04-26,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816406,All,2017-04-26,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401592,All,2017-04-26,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198202,All,2017-04-29,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284149,All,2017-05-03,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851956,All,2017-05-08,Carolyn Lasch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147207,All,2017-05-04,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302746,All,2017-05-12,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115072,All,2017-05-15,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709477,All,2018-02-06,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633038,All,2018-02-08,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705639,All,2018-02-13,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993015,All,2017-06-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981854,All,2017-06-10,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552990,All,2017-06-27,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198549,All,2017-06-27,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726893,All,2017-07-11,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282791,All,2017-07-13,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381606,All,2017-07-17,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469090,All,2017-08-02,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469090,All,2017-08-02,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
675362,All,2017-08-10,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584381,All,2017-08-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266437,All,2017-08-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
