model,ID,age,ETA_L,ETA_S
3d,130059,27,0.731,0.689
3d,130060,26,1.113,0.342
3d,130061,26,1.304,1.824
3d,130062,26,-0.4,-0.229
3d,130063,27,1.113,0.764
3d,130064,26,0.976,-0.691
3d,130065,27,1.337,2.246
3d,130066,16,0.901,0.281
3d,130067,28,1.528,1.917
3d,130068,16,-0.977,-0.153
3d,130069,26,0.943,1.242
3d,130070,26,1.321,1.891
3d,130071,26,1.178,0.514
3d,130072,18,-0.079,-0.078
3d,130073,17,-1.1,-0.225
3d,130074,19,0.365,0.446
3d,130075,27,1.323,0.57
3d,130076,26,1.171,0.755
3d,130077,26,-1.099,-0.533
3d,130078,27,1.009,1.298
3d,130079,27,1.355,0.584
3d,130080,26,-0.87,-0.812
3d,130081,26,-0.734,-0.592
3d,130082,25,0.745,0.454
3d,130083,25,0.49,0.366
3d,130084,25,-0.71,-0.523
3d,130085,25,1.331,1.221
3d,130086,25,1.192,2.093
3d,130087,25,1.596,2.376
3d,130088,24,0.916,0.492
3d,130089,25,0.935,0.35
3d,130090,25,0.349,-0.372
3d,130091,24,1.136,1.215
3d,130092,24,-0.569,-0.409
3d,130093,18,0.823,0.706
3d,130094,18,-0.165,0.005
3d,130095,18,-0.808,-0.233
3d,130096,25,0.45,0.123
3d,130097,26,0.737,0.659
3d,130098,24,0.963,0.615
3d,130099,25,1.603,2.176
3d,130100,18,-1.11,-0.299
3d,130101,18,-0.474,-0.254
3d,130102,18,-0.101,0.083
3d,130103,24,-0.703,0.363
3d,130104,24,1.125,1.467
3d,130105,17,-0.467,-0.09
3d,130106,17,-0.686,0.07
3d,130107,18,-0.158,-0.173
3d,130108,17,-1.001,-0.155
3d,130109,18,-1.182,-0.263
3d,130110,23,1.315,1.557
3d,130111,27,1.036,0.848
3d,130112,25,-0.076,-0.55
3d,130113,25,1.086,0.65
3d,130114,24,1.002,0.082
3d,130115,24,-1.291,-0.57
3d,130116,23,0.907,0.953
3d,130117,23,0.14,-0.184
3d,130118,23,-0.451,-0.547
3d,130119,23,0.581,1.359
3d,130120,24,1.786,2.559
3d,130121,23,-0.046,-0.225
3d,130122,22,0.533,0.905
3d,130123,24,0.711,0.589
3d,130124,23,1.24,0.969
3d,130125,22,-1.231,-0.591
3d,130126,22,1.151,0.544
3d,130127,22,1.641,1.445
3d,130128,22,-1.155,-0.432
3d,130129,22,-0.205,-0.466
3d,130130,22,-0.147,0.396
3d,130131,23,0.281,0.088
3d,130132,22,-0.097,-0.314
3d,130133,23,0.797,0.307
3d,130134,22,0.178,0.562
3d,130135,22,0.129,0.035
3d,130136,22,0.799,0.217
3d,130137,22,-1.054,-0.465
3d,130138,28,0.172,0.21
3d,130139,20,-0.812,-0.305
3d,130140,19,-0.445,-0.32
3d,130141,19,-0.288,-0.174
3d,130142,19,-0.441,-0.307
3d,130143,19,-1.046,-0.194
3d,130144,19,1.264,0.769
3d,130145,19,-0.968,-0.277
3d,130146,17,-1.013,-0.081
3d,130147,20,-0.675,-0.405
3d,130148,16,-0.672,-0.122
3d,130149,28,1.076,0.913
3d,130150,29,1.359,1.845
3d,130151,29,0.849,1.218
3d,130152,28,1.357,1.311
3d,130153,27,-0.163,-0.664
3d,130154,25,0.711,0.424
3d,130155,24,0.767,0.437
3d,130156,29,0.833,0.809
3d,130157,20,-1.136,-0.35
3d,130158,20,-0.233,-0.068
3d,130159,22,0.568,0.718
3d,130160,20,0.009,-0.185
3d,130161,22,0.182,0.104
3d,130162,20,0.273,-0.179
3d,130163,20,1.581,1.705
3d,130164,20,-0.656,-0.246
3d,130165,20,-1.178,-0.4
3d,130166,29,0.734,-0.209
3d,130167,20,0.404,-0.079
3d,130168,20,-0.098,-0.123
3d,130169,20,0.322,-0.205
3d,130170,20,-0.991,-0.359
3d,130171,20,-0.898,-0.383
3d,130172,20,0.335,0.085
3d,130173,20,-0.403,-0.164
3d,130174,30,1.127,1.183
3d,130175,22,-0.873,-0.405
3d,130176,21,0.808,0.689
3d,130177,20,-0.396,-0.159
3d,130178,21,-0.342,-0.423
3d,130179,20,-0.028,-0.034
3d,130180,23,1.308,0.848
3d,130181,29,-0.625,-0.58
3d,130182,20,1.21,1.349
3d,130183,30,1.109,0.498
3d,130184,30,1.025,0.223
3d,130185,30,1.301,2.116
3d,130186,30,1.355,1.963
3d,130187,30,1.209,0.996
3d,130188,21,1.392,-0.268
3d,130189,29,0.316,0.849
3d,130190,30,0.84,0.759
3d,130191,18,-0.495,-0.05
3d,130192,17,0.494,0.018
3d,130193,30,1.199,1.864
3d,130194,30,0.61,-0.137
3d,130195,18,-0.146,-0.168
3d,130196,28,0.458,0.594
3d,130197,16,-0.7,-0.118
3d,130198,17,-0.881,-0.176
3d,130199,16,-1.03,-0.129
3d,130200,16,-1.045,-0.124
3d,130201,16,-0.512,0.001
3d,130202,25,-0.611,-0.648
3d,130203,25,0.224,-0.333
3d,130204,30,1.181,0.806
3d,130205,29,-0.363,-0.815
3d,130206,20,0.004,-0.319
3d,130207,20,-0.887,-0.406
3d,130208,24,-1.458,-0.664
3d,130209,20,0.21,-0.131
3d,130210,21,-1.253,-0.491
3d,130211,20,-0.561,-0.301
3d,130212,20,-0.663,-0.268
3d,130213,26,1.142,1.694
3d,130214,28,0.684,0.807
3d,130215,26,0.527,-0.09
3d,130216,27,1.043,1.038
3d,130217,23,-0.449,-0.43
3d,130218,18,0.009,0.101
3d,130219,20,-0.998,-0.377
3d,130220,27,-0.483,-0.471
3d,130221,25,-0.49,-0.176
3d,130222,20,0.078,0.093
3d,130223,19,-0.256,-0.122
3d,130224,24,-0.213,-0.136
3d,130225,17,-0.643,-0.081
3d,130226,16,-0.836,-0.047
3d,130227,22,0.374,0.25
3d,130228,30,0.863,1.593
3d,130229,16,-0.717,-0.002
3d,130230,28,1.292,1.507
3d,130231,18,0.726,0.559
3d,130232,28,0.361,-0.332
3d,130233,16,-0.432,-0.043
3d,130234,29,1.144,0.872
3d,130235,21,1.156,0.27
3d,130236,28,-0.12,-0.325
3d,130237,29,0.332,-0.411
3d,130238,21,-0.876,-0.416
3d,130239,21,-0.153,-0.368
3d,130240,19,-0.992,-0.269
3d,130241,23,-0.901,-0.344
3d,130242,24,0.068,0.696
3d,130243,17,-0.994,-0.197
3d,130244,24,0.518,0.206
3d,130245,18,0.671,0.716
3d,130246,16,-0.623,-0.043
3d,130247,16,-1.092,-0.147
3d,130248,19,-0.652,-0.19
3d,130249,29,-0.308,-0.578
3d,130250,30,-0.788,-1.027
3d,130251,19,-0.431,-0.175
3d,130252,19,0.05,0.03
3d,130253,22,-1.287,-0.568
3d,130254,28,-0.791,-0.899
3d,130255,19,0.083,0.096
3d,130256,19,-1.048,-0.369
3d,130257,29,1.158,1.382
3d,130258,30,1.299,2.04
3d,130259,30,1.3,2.066
3d,130260,16,-1.059,-0.147
3d,130261,17,-0.733,-0.192
3d,130262,17,-0.654,-0.178
3d,130263,16,-1.101,-0.147
3d,130264,16,-1.051,-0.157
3d,130265,16,-0.548,-0.1
3d,130266,17,-0.828,-0.225
3d,130267,17,-0.695,0.056
3d,130268,18,-1.128,-0.248
3d,130269,18,-0.47,-0.228
3d,130270,17,-1.019,-0.179
3d,130271,17,-0.052,-0.032
3d,130272,16,-0.976,-0.098
3d,130273,19,-0.466,-0.195
3d,130274,19,0.576,0.107
3d,130275,19,0.281,-0.16
3d,130276,19,-1.074,-0.349
3d,130277,19,-0.242,-0.109
3d,130278,19,-0.72,-0.295
3d,130279,19,0.784,0.149
3d,130280,19,1.365,1.184
3d,130281,19,-0.738,-0.251
3d,130282,19,-0.48,-0.15
3d,130283,16,-0.962,-0.066
3d,130284,16,-0.786,-0.078
3d,130285,17,-0.858,-0.156
3d,130286,17,-0.426,-0.134
3d,130287,17,-0.958,-0.225
3d,130288,17,-1.099,-0.172
3d,130289,18,-1.169,-0.297
3d,130290,18,0.115,-0.006
3d,130291,19,-0.551,-0.206
3d,130292,20,-0.734,-0.281
3d,130293,19,-1.024,-0.344
3d,130294,20,0.394,-0.049
3d,130295,24,-1.053,-0.525
3d,130296,23,-1.038,-0.483
3d,130297,16,-0.753,-0.106
3d,130298,26,-0.047,-0.689
3d,130299,16,-0.901,-0.152
3d,130300,18,-1.137,-0.263
3d,130301,20,-0.052,-0.1
3d,130302,20,0.12,-0.273
3d,130303,28,1.225,1.6
3d,130304,20,-1.294,-0.445
3d,130305,20,1.103,-0.123
3d,130306,21,1.73,1.669
3d,130307,27,-0.581,-0.41
3d,130308,22,-0.512,-0.216
3d,130309,23,0.374,0.132
3d,130310,23,0.711,-0.212
3d,130311,23,0.141,-0.067
3d,130312,28,0.278,-0.357
3d,130313,28,-1.054,-0.971
3d,130314,28,-1.262,-0.866
3d,130315,28,1.075,0.958
3d,130316,29,-0.093,0.011
3d,130317,29,1.177,1.663
3d,130318,16,-0.916,-0.122
3d,130319,16,-1.033,-0.152
3d,130320,16,-0.369,-0.019
3d,130321,16,-0.38,-0.13
3d,130322,17,-0.464,-0.158
3d,130323,17,-0.903,-0.168
3d,130324,17,-1.022,-0.197
3d,130325,17,-1.039,-0.229
3d,130326,17,-0.915,-0.185
3d,130327,18,-0.535,-0.282
3d,130328,18,-0.614,-0.211
3d,130329,18,-0.638,-0.277
3d,130330,18,-0.801,-0.254
3d,130331,19,-0.989,-0.201
3d,130332,20,-1.131,-0.394
3d,130333,20,-0.959,-0.285
3d,130334,20,0.564,-0.277
3d,130335,20,-0.072,-0.402
3d,130336,21,-0.971,-0.474
3d,130337,21,1.36,-0.202
3d,130338,22,0.475,0.029
3d,130339,22,-0.892,-0.568
3d,130340,23,0.712,0.676
3d,130341,21,0.49,0.021
3d,130342,22,0.63,-0.333
3d,130343,23,1.401,1.18
3d,130344,23,-0.228,-0.144
3d,130345,23,-1.028,-0.499
3d,130346,25,-0.669,-0.24
3d,130347,24,-1.315,-0.668
3d,130348,24,1.64,2.232
3d,130349,24,-0.107,-0.458
3d,130350,23,0.287,-0.273
3d,130351,24,-1.601,-0.704
3d,130352,25,1.354,0.716
3d,130353,25,-1.181,-0.633
3d,130354,26,1.377,1.465
3d,130355,25,1.391,0.908
3d,130356,25,0.675,0.294
3d,130357,25,0.336,-0.381
3d,130358,25,-0.041,0.071
3d,130359,25,0.684,-0.479
3d,130360,24,0.727,0.368
3d,130361,26,1.529,2.048
3d,130362,26,0.365,0.456
3d,130363,27,0.716,0.887
3d,130364,27,1.43,1.934
3d,130365,28,1.429,2.084
3d,130366,28,0.836,0.612
3d,130367,29,0.228,-0.355
3d,130368,29,0.749,-0.775
3d,130369,30,1.331,1.909
3d,130370,29,1.207,2.132
3d,130371,30,0.877,1.227
3d,130372,17,-0.91,-0.208
3d,130373,20,0.067,-0.231
3d,130374,21,-0.826,-0.255
3d,130375,21,0.526,-0.025
3d,130376,21,0.896,-0.116
3d,130377,21,-0.084,-0.13
3d,130378,24,-0.888,-0.47
3d,130379,22,-0.636,-0.009
3d,130380,22,0.985,0.219
3d,130381,22,0.157,-0.149
3d,130382,23,-1.321,-0.52
3d,130383,23,-0.496,-0.531
3d,130384,24,-0.619,-0.671
3d,130385,24,0.672,-0.358
3d,130386,23,-0.55,-0.28
3d,130387,24,0.336,0.391
3d,130388,25,1.09,-0.135
3d,130389,23,0.128,-0.349
3d,130390,24,1.297,0.338
3d,130391,25,0.729,0.846
3d,130392,25,-1.469,-0.586
3d,130393,27,1.628,2.292
3d,130394,26,1.609,2.057
3d,130395,26,-1.362,-0.789
3d,130396,27,0.72,1.493
3d,130397,26,-1.634,-0.876
3d,130398,26,1.329,-0.114
3d,130399,27,0.626,1.07
3d,130400,27,0.02,-0.13
3d,130401,27,-0.18,-0.305
3d,130402,30,0.826,0.308
3d,130403,28,0.852,1.704
3d,130404,30,0.457,1.552
3d,130405,29,-0.645,-0.815
3d,130406,27,-0.093,-0.267
3d,130407,21,-1.143,-0.411
3d,130408,22,-0.487,-0.314
3d,130409,23,-0.611,-0.425
3d,130410,23,1.461,0.568
3d,130411,27,0.507,-0.435
3d,130412,28,-0.029,-0.605
3d,130413,28,0.748,0.326
3d,130414,29,0.901,1.115
3d,130415,29,1.216,1.811
3d,130416,22,0.116,-0.134
3d,130417,21,0.671,0.084
3d,130418,29,-0.633,-0.531
3d,130419,23,0.107,-0.539
3d,130420,22,0.38,0.156
3d,130421,24,1.074,0.506
3d,130422,24,1.043,0.459
3d,130423,18,-1.25,-0.298
3d,130424,25,-1.392,-0.495
3d,130425,23,1.624,2.212
3d,130426,22,0.205,0.018
3d,130427,21,-0.889,-0.392
3d,130428,21,-0.479,-0.143
3d,130429,21,-1.397,-0.514
3d,130430,27,1.255,0.615
3d,130431,27,1.568,2.414
3d,130432,20,1.072,0.454
3d,130433,25,0.296,0.345
3d,130434,18,1.484,0.213
3d,130435,18,-0.408,-0.028
3d,130436,27,-0.028,-0.791
3d,130437,18,-0.782,-0.286
3d,130438,30,1.139,1.466
3d,130439,27,0.829,0.984
3d,130440,26,0.844,0.218
3d,130441,20,0.909,0.777
3d,130442,17,-0.586,-0.192
3d,130443,24,-1.367,-0.622
3d,130444,23,1.728,2.05
3d,130445,26,0.724,0.354
3d,130446,21,-0.972,-0.442
3d,130447,22,1.843,0.967
3d,130448,23,0.118,-0.286
3d,130449,19,-0.399,-0.314
3d,130450,20,-0.881,-0.378
3d,130451,26,0.773,0.214
3d,130452,21,-1.041,-0.412
3d,130453,21,-1.022,-0.35
3d,130454,23,-1.242,-0.608
3d,130455,26,1.371,1.748
3d,130456,24,-0.147,-0.394
3d,130457,27,1.234,1.233
3d,130458,18,-1.014,-0.294
3d,130459,26,-0.991,-0.693
3d,130460,19,0.646,0.656
3d,130461,23,1.462,2.659
3d,130462,23,1.458,2.659
3d,130463,26,1.39,1.222
3d,130464,29,0.739,1.501
3d,130465,28,0.929,0.827
3d,130466,28,0.978,0.957
3d,130467,27,1.15,1.328
3d,130468,27,1.027,0.295
3d,130469,27,0.368,0.74
3d,130470,27,0.745,0.742
3d,130471,27,-1.007,-0.797
3d,130472,26,1.289,1.631
3d,130473,29,0.737,-0.245
3d,130474,26,0.619,0.938
3d,130475,26,-0.507,-0.754
3d,130476,26,0.645,0.068
3d,130477,25,0.763,1.022
3d,130478,25,-0.868,-0.5
3d,130479,25,1.043,0.569
3d,130480,24,-1.199,-0.523
3d,130481,24,-0.564,-0.398
3d,130482,23,0.763,0.806
3d,130483,23,0.861,-0.029
3d,130484,23,0.57,0.054
3d,130485,22,1.148,0.582
3d,130486,22,0.695,0.214
3d,130487,22,1.199,0.791
3d,130488,22,-1.003,-0.559
3d,130489,22,-0.755,-0.455
3d,130490,22,0.079,-0.146
3d,130491,20,-0.577,-0.199
3d,130492,20,-1.241,-0.407
3d,130493,19,-0.242,-0.153
3d,130494,18,-1.15,-0.263
3d,130495,18,-1.16,-0.291
3d,130496,18,-0.97,-0.176
3d,130497,17,-0.935,-0.168
3d,130498,16,-1.072,-0.147
3d,130499,25,0.329,-0.219
3d,130500,27,0.75,0.766
3d,130501,29,0.643,0.11
3d,130502,29,0.481,0.285
3d,130503,29,-1.149,-0.462
3d,130504,28,0.414,0.328
3d,130505,22,-1.325,-0.57
3d,130506,21,-0.898,-0.396
3d,130507,16,-0.864,-0.09
3d,130508,22,-1.185,-0.495
3d,130509,16,-0.742,-0.134
3d,130510,18,-1.155,-0.299
3d,130511,19,-1.018,-0.282
3d,130512,29,-0.149,-0.746
3d,130513,29,1.257,1.504
3d,130514,22,0.931,0.216
3d,130515,16,-0.929,-0.087
3d,130516,21,0.606,0.285
3d,130517,24,-0.159,-0.256
3d,130518,25,0.401,0.021
3d,130519,24,-0.88,-0.361
3d,130520,28,1.251,1.953
3d,130521,16,-0.87,-0.157
3d,130522,17,-1.006,-0.019
3d,130523,17,-0.804,-0.105
3d,130524,23,-0.442,-0.476
3d,130525,24,1.182,1.05
3d,130526,16,-1.036,-0.147
3d,130527,16,-0.859,-0.153
3d,130528,16,-0.638,-0.13
3d,130529,16,-0.518,0.027
3d,130530,16,-0.393,-0.037
3d,130531,24,-1.45,-0.676
3d,130532,24,-1.364,-0.652
3d,130533,24,0.649,0.022
3d,130534,24,1.76,0.637
3d,130535,27,0.725,0.288
3d,130536,24,1.215,0.951
3d,130537,24,1.599,1.698
3d,130538,18,-0.899,-0.176
3d,130539,17,-0.54,-0.23
3d,130540,16,-0.989,-0.157
3d,130541,18,-1.094,-0.294
3d,130542,18,-0.983,-0.268
3d,130543,18,-0.93,-0.299
3d,130544,20,-1.283,-0.44
3d,130545,29,-1.784,-1.086
3d,130546,19,-1.041,-0.346
3d,130547,20,-0.725,-0.407
3d,130548,21,0.599,0.379
3d,130549,21,-0.744,-0.158
3d,130550,21,1.096,0.808
3d,130551,22,-0.703,-0.286
3d,130552,22,-1.269,-0.529
3d,130553,22,1.146,2.235
3d,130554,25,-0.045,-0.258
3d,130555,25,0.884,-0.12
3d,130556,26,0.417,0.114
3d,130557,27,0.362,0.339
3d,130558,27,0.423,0.361
3d,130559,27,1.319,0.923
3d,130560,28,0.838,0.881
3d,130561,24,-1.417,-0.613
3d,130562,24,0.043,0.097
3d,130563,26,1.47,1.741
3d,130564,28,-1.002,-0.756
3d,130565,28,0.496,0.752
3d,130566,27,0.612,-0.201
3d,130567,25,1.285,1.633
3d,130568,25,1.3,0.584
3d,130569,25,-0.283,-0.018
3d,130570,24,-0.107,-0.179
3d,130571,24,0.589,0.083
3d,130572,23,1.168,-0.142
3d,130573,21,-1.124,-0.48
3d,130574,21,0.254,-0.09
3d,130575,21,0.248,-0.247
3d,130576,20,1.115,0.599
3d,130577,20,-1.189,-0.342
3d,130578,19,-0.671,-0.317
3d,130579,18,-0.918,-0.259
3d,130580,16,-0.884,-0.152
3d,130581,16,-0.951,-0.153
3d,130582,28,0.745,0.596
3d,130583,18,-1.094,-0.299
3d,130584,25,1.335,2.109
3d,130585,21,-0.71,-0.205
3d,130586,23,1.248,1.464
3d,130587,28,0.4,0.296
3d,130588,27,1.526,1.832
3d,130589,27,1.361,2.106
3d,130590,23,0.198,-0.28
3d,130591,19,0.499,-0.139
3d,130592,18,-0.658,0.132
3d,130593,24,0.595,-0.367
3d,130594,23,0.471,0.042
3d,130595,23,1.14,1.038
3d,130596,25,0.485,-0.13
3d,130597,17,-0.968,-0.229
3d,130598,29,0.619,0.289
3d,130599,23,1.102,1.241
3d,130600,27,1.381,0.649
3d,130601,24,0.613,0.646
3d,130602,23,0.408,0.063
3d,130603,21,-0.679,-0.393
3d,130604,17,-0.582,-0.174
3d,130605,27,-1.749,-0.954
3d,130606,23,0.723,-0.152
3d,130607,23,0.208,0.325
3d,130608,23,-0.156,-0.181
3d,130609,20,-0.472,-0.334
3d,130610,28,-0.51,-0.712
3d,130611,26,0.644,0.472
3d,130612,25,-0.593,-0.407
3d,130613,24,0.464,-0.041
3d,130614,24,0.925,1.125
3d,130615,23,-0.837,-0.387
3d,130616,23,-0.224,0.191
3d,130617,24,1.055,1.514
3d,130618,24,-0.141,-0.476
3d,130619,27,1.133,1.525
3d,130620,18,-1.063,-0.245
3d,130621,24,-0.547,-0.439
3d,130622,23,-0.123,-0.009
3d,130623,26,1.185,0.574
3d,130624,24,1.014,0.071
3d,130625,24,0.14,-0.274
3d,130626,17,-0.898,-0.14
3d,130627,17,-0.109,-0.129
3d,130628,16,-0.797,-0.084
3d,130629,30,1.212,2.088
3d,130630,16,-1.025,-0.152
3d,130631,16,-1.056,-0.152
3d,130632,16,-0.733,-0.072
3d,130633,20,0.233,-0.168
3d,130634,20,0.088,-0.205
3d,130635,20,-1.087,-0.407
3d,130636,20,-0.953,-0.225
3d,130637,20,0.111,-0.06
3d,130638,20,0.765,0.629
3d,130639,18,-1.061,-0.206
3d,130640,19,-1.187,-0.367
3d,130641,20,-1.201,-0.417
3d,130642,20,-0.056,-0.208
3d,130643,19,-0.358,-0.104
3d,130644,19,-1.006,-0.284
3d,130645,19,-1.265,-0.367
3d,130646,20,-0.198,-0.336
3d,130647,20,-0.351,-0.107
3d,130648,20,-0.784,-0.348
3d,130649,30,1.245,0.761
3d,130650,30,0.694,0.476
3d,130651,30,0.495,-0.05
3d,130652,30,0.209,0.597
3d,130653,30,0.986,0.658
3d,130654,30,0.192,-0.509
3d,130656,16,-0.998,-0.147
3d,130657,16,-1.011,-0.152
3d,130658,16,-0.966,-0.153
3d,130659,16,-0.672,-0.078
3d,130660,16,-0.629,-0.088
3d,130661,16,0.542,0.175
3d,130662,16,-0.832,-0.049
3d,130663,16,-0.77,-0.129
3d,130664,16,-0.918,-0.134
3d,130665,16,-0.962,-0.157
3d,130666,16,-1.095,-0.147
3d,130667,16,-0.75,-0.157
3d,130668,16,-1.012,-0.129
3d,130669,16,-0.84,-0.06
3d,130670,16,-1.062,-0.153
3d,130671,16,-1.007,-0.052
3d,130672,16,-0.452,-0.141
3d,130673,16,-1.004,-0.153
3d,130674,16,-1.037,-0.157
3d,130675,16,-0.828,-0.07
3d,130676,16,-0.378,0.038
3d,130677,16,-0.886,0.024
3d,130678,16,-1.073,-0.112
3d,130679,16,-0.745,-0.093
3d,130680,16,-0.642,-0.078
3d,130681,16,-0.059,0.125
3d,130682,16,0.997,0.014
3d,130683,16,-1.022,-0.152
3d,130684,16,0.358,0.081
3d,130685,16,-1.103,-0.152
3d,130686,16,-1.032,-0.064
3d,130687,16,0.402,-0.042
3d,130688,16,-1.098,-0.147
3d,130689,16,-0.523,0.02
3d,130690,16,-1.051,-0.157
3d,130691,16,-0.966,-0.076
3d,130692,16,-0.913,-0.072
3d,130693,16,-0.867,-0.094
3d,130694,16,-1.08,-0.153
3d,130695,16,1.133,0.489
3d,130696,16,-1.006,-0.129
3d,130697,16,-1.059,-0.112
3d,130698,16,-0.85,0.015
3d,130699,16,-1.073,-0.153
3d,130700,16,-0.856,-0.072
3d,130701,16,-0.955,-0.152
3d,130702,16,-1.022,-0.1
3d,130703,16,-1,-0.124
3d,130704,16,-1.084,-0.152
3d,130705,16,-1.06,-0.106
3d,130706,16,-1.02,-0.147
3d,130707,16,-1.018,-0.153
3d,130708,16,-0.671,-0.036
3d,130709,16,-0.809,-0.059
3d,130710,16,-0.338,-0.136
3d,130711,16,-1.06,-0.147
3d,130712,16,-0.919,-0.086
3d,130713,16,-1.007,-0.147
3d,130714,16,-0.927,-0.147
3d,130715,16,0.367,0.389
3d,130716,16,-0.94,-0.112
3d,130717,16,-0.705,-0.136
3d,130718,16,-0.076,-0.086
3d,130719,16,-0.933,-0.126
3d,130720,16,-1.031,-0.147
3d,130721,16,-0.652,-0.153
3d,130722,16,-1.072,-0.147
3d,130723,16,-1.103,-0.153
3d,130724,16,-0.943,-0.106
3d,130725,16,-1.093,-0.147
3d,130726,16,-1.077,-0.152
3d,130727,16,-1.068,-0.153
3d,130728,16,-0.295,-0.092
3d,130729,16,-0.611,-0.129
3d,130730,16,-0.937,-0.153
3d,130731,16,-0.575,0.12
3d,130732,16,-0.674,-0.055
3d,130733,16,0.355,-0.03
3d,130734,16,0.227,0.118
3d,130735,16,-1.003,-0.153
3d,130736,16,-0.903,-0.118
3d,130737,16,-0.947,-0.153
3d,130738,16,-0.426,-0.135
3d,130739,16,-0.153,-0.063
3d,130740,16,-1.068,-0.152
3d,130741,16,-0.474,-0.157
3d,130742,16,-0.921,-0.093
3d,130743,16,-0.883,-0.117
3d,130744,16,-1.004,-0.124
3d,130745,16,-1.005,-0.152
3d,130746,16,-0.991,-0.119
3d,130747,16,0.52,0.485
3d,130748,16,-1.103,-0.152
3d,130749,16,-0.174,-0.045
3d,130750,16,-1.056,-0.153
3d,130751,16,-0.789,-0.129
3d,130752,16,-1.061,-0.129
3d,130753,16,-0.631,-0.007
3d,130754,16,0.928,0.38
3d,130755,16,-1.097,-0.147
3d,130756,16,-0.925,-0.06
3d,130757,16,0.383,0.223
3d,130758,16,-0.773,0.015
3d,130759,16,-1.091,-0.147
3d,130760,16,-1.091,-0.152
3d,130761,16,-1.016,-0.124
3d,130762,16,-0.807,0.018
3d,130763,16,-1.127,-0.147
3d,130764,16,-0.896,-0.111
3d,130765,16,-0.829,-0.152
3d,130766,16,-0.82,-0.069
3d,130767,16,0.332,0.189
3d,130768,16,-0.975,-0.147
3d,130769,16,-1.052,-0.118
3d,130770,17,-0.799,-0.179
3d,130771,17,-1.11,-0.23
3d,130772,17,-0.872,-0.202
3d,130773,17,-1.165,-0.225
3d,130774,17,-1.001,-0.202
3d,130775,17,-1.118,-0.22
3d,130776,17,-0.268,0.115
3d,130777,17,-0.935,-0.202
3d,130778,17,-1.025,-0.146
3d,130779,17,-1.113,-0.14
3d,130780,17,-0.703,-0.146
3d,130781,17,-1.06,-0.199
3d,130782,17,-1.085,-0.19
3d,130783,17,-1.002,-0.23
3d,130784,17,-0.576,-0.083
3d,130785,17,-1.03,-0.207
3d,130786,17,-1.082,-0.225
3d,130787,17,-0.862,-0.131
3d,130788,17,-0.98,-0.105
3d,130789,17,-0.969,-0.174
3d,130790,17,-1.115,-0.225
3d,130791,17,-1.1,-0.225
3d,130792,17,-1.065,-0.229
3d,130793,17,-1.119,-0.19
3d,130794,17,0.121,-0.072
3d,130795,17,0.35,0.232
3d,130796,17,-1.087,-0.197
3d,130797,17,-0.28,-0.152
3d,130798,17,-0.886,-0.178
3d,130799,17,-0.813,-0.114
3d,130800,17,-1.065,-0.23
3d,130801,17,-0.837,-0.202
3d,130802,17,-1.141,-0.225
3d,130803,17,-0.934,-0.184
3d,130804,17,-1.089,-0.225
3d,130805,17,-0.919,-0.168
3d,130806,17,-1.074,-0.225
3d,130807,17,-0.822,-0.156
3d,130808,17,-0.623,-0.132
3d,130809,17,-0.925,-0.225
3d,130810,17,-0.522,0.015
3d,130811,17,-0.911,-0.23
3d,130812,17,-1.138,-0.201
3d,130813,17,-0.973,-0.137
3d,130814,17,-1.155,-0.225
3d,130815,17,-1.11,-0.225
3d,130816,17,-0.91,-0.229
3d,130817,17,-1.137,-0.23
3d,130818,18,-0.622,-0.201
3d,130819,18,-0.231,-0.164
3d,130820,18,-1.005,-0.206
3d,130821,18,-0.901,-0.146
3d,130822,18,-1.145,-0.293
3d,130823,18,-0.531,-0.187
3d,130824,18,-0.98,-0.297
3d,130825,18,-0.971,-0.302
3d,130826,18,-1.152,-0.297
3d,130827,18,-1.059,-0.24
3d,130828,18,-0.971,-0.155
3d,130829,18,-0.704,-0.258
3d,130830,18,-1.07,-0.222
3d,130831,18,-0.754,-0.223
3d,130832,18,-0.535,-0.072
3d,130833,18,-1.247,-0.294
3d,130834,18,-1.153,-0.298
3d,130835,18,-0.822,0.058
3d,130836,18,-1.157,-0.299
3d,130837,18,0.052,-0.087
3d,130838,18,-1.205,-0.259
3d,130839,18,1.317,1.148
3d,130840,18,-0.99,-0.229
3d,130841,18,-1.089,-0.244
3d,130842,18,-0.824,-0.071
3d,130843,18,0.015,-0.096
3d,130844,18,-0.111,-0.163
3d,130845,18,-0.833,0.063
3d,130846,18,0.65,0.298
3d,130847,18,-0.497,-0.213
3d,130848,18,-0.957,-0.22
3d,130849,18,-0.941,-0.115
3d,130850,18,-0.798,-0.17
3d,130851,18,0.844,0.153
3d,130852,18,-1.13,-0.299
3d,130853,18,-0.702,-0.233
3d,130854,18,-1.16,-0.293
3d,130855,18,-1.096,-0.293
3d,130856,18,-0.95,-0.192
3d,130857,18,-0.7,0.002
3d,130858,18,-1.215,-0.297
3d,130859,18,-0.968,-0.297
3d,130860,18,-0.267,-0.145
3d,130861,18,-0.218,-0.232
3d,130862,18,-0.686,-0.218
3d,130863,18,-0.387,-0.113
3d,130864,18,0.377,-0.187
3d,130865,18,0.37,0.005
3d,130866,18,-1.185,-0.299
3d,130867,18,-0.935,-0.161
3d,130868,18,-1.098,-0.253
