model,ID,age,ETA_L,ETA_S
3d,129424,28,0.9,1.036
3d,129425,23,-0.619,-0.539
3d,129426,20,-1.271,-0.44
3d,129427,26,-0.451,-0.182
3d,129428,30,-1.406,-0.917
3d,129429,28,-0.006,1.091
3d,129430,29,-0.07,0.113
3d,129431,25,0.992,1.971
3d,129432,27,-0.315,0.023
3d,129433,19,-0.625,-0.163
3d,129434,25,-0.66,-0.624
3d,129435,22,-1.239,-0.534
3d,129436,20,0.623,-0.44
3d,129437,26,-0.779,-0.418
3d,129438,30,0.45,0.299
3d,129439,22,0.711,-0.204
3d,129440,23,-0.612,-0.549
3d,129441,25,0.95,1.93
3d,129442,22,-1.258,-0.478
3d,129443,27,-0.251,-0.742
3d,129444,18,-1.156,-0.237
3d,129445,20,-1.374,-0.44
3d,129446,18,-0.766,0.137
3d,129447,20,-0.734,-0.394
3d,129448,23,-0.082,-0.17
3d,129449,26,-1.047,-0.752
3d,129450,27,0.834,0.998
3d,129451,27,0.88,0.961
3d,129452,26,1.122,0.691
3d,129453,21,1.246,0.427
3d,129454,28,0.619,0.16
3d,129455,26,-1.498,-0.811
3d,129456,26,1.224,1.392
3d,129457,29,-1.566,-0.881
3d,129458,25,1.152,0.967
3d,129459,30,1.279,0.107
3d,129460,25,-0.845,-0.607
3d,129461,27,-0.514,-0.632
3d,129462,27,1.617,2.348
3d,129463,25,-1.564,-0.803
3d,129464,28,0.731,-0.696
3d,129465,27,-0.928,-0.788
3d,129466,25,-0.768,-0.607
3d,129467,25,0.776,0.688
3d,129468,27,0.141,0.122
3d,129469,28,0.409,0.584
3d,129470,27,-1.687,-0.896
3d,129471,27,0.435,0.263
3d,129472,27,-0.201,-0.05
3d,129473,30,-0.159,-0.833
3d,129474,19,-0.945,-0.284
3d,129475,25,-1.478,-0.646
3d,129476,25,-1.501,-0.811
3d,129477,27,-0.126,-0.175
3d,129478,24,-0.745,-0.3
3d,129479,21,1.391,1.059
3d,129480,19,1.816,1.304
3d,129481,28,-1.287,-0.784
3d,129482,22,0.296,-0.225
3d,129483,16,-0.629,0.046
3d,129484,27,0.186,0.176
3d,129485,21,-0.596,-0.104
3d,129486,30,-0.301,0.115
3d,129487,18,-0.987,-0.297
3d,129488,17,-1.11,-0.15
3d,129489,27,-0.724,0.017
3d,129490,18,-0.569,0.001
3d,129491,22,0.677,1.17
3d,129492,22,-0.471,-0.334
3d,129493,19,-1.168,-0.34
3d,129494,28,0.853,0.505
3d,129495,17,-0.533,-0.024
3d,129496,18,-0.84,-0.076
3d,129497,29,-1.152,0.335
3d,129498,22,-1.043,-0.422
3d,129499,16,-0.629,0.038
3d,129500,26,1.541,2.464
3d,129501,20,-0.661,0.039
3d,129502,28,-0.285,-0.545
3d,129503,28,0.112,-0.057
3d,129504,20,1.05,0.717
3d,129505,17,0.315,0.695
3d,129506,28,1.051,2.025
3d,129507,27,0.051,-0.395
3d,129508,20,-0.143,-0.155
3d,129509,30,-0.085,-0.359
3d,129510,30,0.673,1.818
3d,129511,27,1.237,2.185
3d,129512,26,0.079,-0.04
3d,129513,23,0.068,0.309
3d,129514,26,0.065,-0.205
3d,129515,21,-0.548,-0.163
3d,129516,16,-1.076,-0.152
3d,129517,17,-1.05,-0.225
3d,129518,19,-1.051,-0.307
3d,129519,19,0.893,1.728
3d,129520,21,-1.404,-0.513
3d,129521,25,-1.297,-0.559
3d,129522,25,0.439,1.847
3d,129523,25,-0.812,-0.481
3d,129524,20,-1.053,-0.408
3d,129525,29,0.009,0.206
3d,129526,26,-0.449,-0.695
3d,129527,27,-1.06,-0.798
3d,129528,24,-0.335,-0.334
3d,129529,20,-0.983,-0.367
3d,129530,24,0.547,0.788
3d,129531,19,-1.199,-0.341
3d,129532,24,0.606,-0.031
3d,129533,19,-0.865,-0.137
3d,129534,27,-1.149,-0.85
3d,129535,25,-0.547,-0.6
3d,129536,20,0.768,0.064
3d,129537,29,1.309,1.736
3d,129538,21,0.479,-0.195
3d,129539,27,1.226,1.266
3d,129540,27,-0.12,-0.02
3d,129541,19,-0.659,-0.293
3d,129542,20,-0.91,-0.442
3d,129543,30,0.909,1.254
3d,129544,23,1.355,1.254
3d,129545,17,-1.116,-0.23
3d,129546,28,-0.425,-0.444
3d,129547,18,-0.236,-0.182
3d,129548,26,0.472,0.309
3d,129549,17,-0.977,-0.225
3d,129551,18,-0.476,-0.254
3d,129552,18,-1.083,-0.295
3d,129553,22,0.181,0.198
3d,129554,29,0.744,1.751
3d,129555,27,-0.054,-0.473
3d,129556,30,-0.041,-0.744
3d,129557,20,0.694,-0.273
3d,129558,21,0.444,-0.291
3d,129559,25,-0.919,-0.637
3d,129560,28,0.708,0.134
3d,129561,26,-1.554,-0.786
3d,129562,27,1.491,1.174
3d,129563,24,-1.148,-0.708
3d,129564,20,-0.732,-0.316
3d,129565,29,1.394,2.003
3d,129566,20,-0.342,0.105
3d,129567,26,-0.286,-0.295
3d,129568,17,-0.641,-0.213
3d,129569,21,0.037,-0.387
3d,129570,18,-1.065,-0.251
3d,129571,23,0.084,-0.282
3d,129572,27,0.526,1.116
3d,129573,23,-1.154,-0.525
3d,129574,23,0.772,-0.544
3d,129575,24,-1.412,-0.691
3d,129576,27,-0.036,-0.148
3d,129577,30,1.426,2.089
3d,129578,27,-0.405,-0.593
3d,129579,30,0.254,-0.557
3d,129580,30,0.119,-0.534
3d,129581,20,-0.082,-0.213
3d,129582,18,-1.092,-0.279
3d,129583,21,1.267,0.768
3d,129584,30,1.206,1.864
3d,129585,24,0.179,0.007
3d,129586,26,-1.339,-0.787
3d,129587,17,-0.021,-0.144
3d,129588,30,0.396,0.04
3d,129589,28,0.933,0.145
3d,129590,20,-0.992,-0.318
3d,129591,22,-0.61,-0.355
3d,129592,24,0.91,1.199
3d,129593,25,0.709,0.279
3d,129594,26,-1.445,-0.682
3d,129595,20,-0.877,-0.353
3d,129596,25,0.964,0.18
3d,129597,24,-0.325,-0.381
3d,129598,16,0.57,0.403
3d,129599,16,-0.745,-0.083
3d,129600,26,-1.397,-0.88
3d,129601,20,-1.143,-0.275
3d,129602,24,-0.705,-0.629
3d,129603,20,-0.771,-0.355
3d,129604,23,0.476,-0.003
3d,129605,17,-0.3,-0.19
3d,129606,20,-0.145,-0.307
3d,129607,26,1.167,2.083
3d,129608,17,-1.094,-0.167
3d,129609,17,-1.152,-0.22
3d,129610,22,1.165,-0.451
3d,129611,27,1.304,1.784
3d,129612,25,-1.353,-0.714
3d,129613,20,-0.387,-0.344
3d,129614,22,-0.88,-0.454
3d,129615,22,-1.468,-0.592
3d,129616,24,-0.296,-0.601
3d,129617,20,-1.338,-0.419
3d,129618,21,-1.123,-0.46
3d,129619,26,-0.913,-0.721
3d,129620,18,-0.51,-0.191
3d,129621,23,-0.677,-0.406
3d,129622,25,0.828,0.217
3d,129623,21,0.314,0.124
3d,129624,30,1.084,2.08
3d,129625,25,0.84,-0.115
3d,129626,22,-1.113,-0.476
3d,129627,30,1.195,1.969
3d,129628,22,1.431,1.635
3d,129629,26,-0.319,-0.667
3d,129630,26,-0.33,-0.667
3d,129631,29,1.326,1.884
3d,129632,27,0.111,0.152
3d,129633,20,-0.946,-0.388
3d,129634,24,-0.933,-0.491
3d,129635,26,0.151,0.394
3d,129636,25,-0.01,-0.191
3d,129637,22,0.61,-0.004
3d,129638,29,-1.393,-0.92
3d,129639,29,0.574,0.489
3d,129640,30,1.018,0.746
3d,129641,17,-0.009,0.32
3d,129642,24,-1.076,-0.692
3d,129643,19,-0.026,0.085
3d,129644,21,0.924,-0.052
3d,129645,18,-0.545,-0.205
3d,129646,24,-0.344,-0.039
3d,129647,25,1.074,1.113
3d,129648,16,-1.018,-0.122
3d,129649,29,0.574,-0.125
3d,129650,24,1.371,1.628
3d,129651,29,0.879,0.705
3d,129652,16,-0.527,-0.101
3d,129653,18,-0.99,-0.28
3d,129654,26,1.355,0.996
3d,129655,19,0.074,-0.031
3d,129656,29,0.464,-0.208
3d,129657,26,-0.035,-0.698
3d,129658,18,-1.196,-0.253
3d,129659,20,0.897,0.794
3d,129660,18,-0.415,-0.097
3d,129661,20,0.474,0.124
3d,129662,27,1.565,2.352
3d,129663,22,-0.539,-0.409
3d,129664,19,-1.167,-0.372
3d,129665,20,1.172,1.334
3d,129666,24,-0.444,-0.429
3d,129667,20,-1.039,-0.407
3d,129668,30,0.843,1.399
3d,129669,18,-0.438,-0.228
3d,129670,30,0.437,1.162
3d,129671,29,1.509,2.266
3d,129672,25,1.081,1.056
3d,129673,24,-0.431,-0.443
3d,129674,19,0.519,-0.144
3d,129675,19,0.399,0.057
3d,129676,29,-0.071,-0.42
3d,129677,30,0.649,0.421
3d,129678,18,-0.722,-0.267
3d,129679,25,-0.947,-0.61
3d,129680,21,0.194,-0.137
3d,129681,21,0.143,-0.336
3d,129682,19,0.72,-0.035
3d,129683,30,1.149,1.838
3d,129684,17,1.719,0.379
3d,129685,24,1.453,1.839
3d,129686,28,-0.133,-0.359
3d,129687,23,-1.414,-0.636
3d,129688,18,-1.071,-0.282
3d,129689,18,-0.169,0.263
3d,129690,16,-0.842,-0.117
3d,129691,19,-0.012,-0.108
3d,129692,30,1.035,1.132
3d,129693,29,1.127,1.702
3d,129694,20,-1.364,-0.445
3d,129695,21,-0.899,-0.441
3d,129696,18,-1.08,-0.293
3d,129697,26,0.688,-0.294
3d,129698,24,-0.293,-0.274
3d,129699,27,0.358,-0.699
3d,129700,18,-1.103,-0.293
3d,129701,30,1.223,1.945
3d,129702,28,-0.485,-0.481
3d,129703,28,0.386,0.689
3d,129704,19,-1.049,-0.135
3d,129705,29,1.108,0.652
3d,129706,30,0.968,1.19
3d,129707,16,-0.965,-0.111
3d,129708,22,-1.381,-0.538
3d,129709,19,1.193,0.702
3d,129710,19,-1.179,-0.339
3d,129711,17,-0.624,-0.088
3d,129712,19,-1.172,-0.332
3d,129713,26,1.3,0.831
3d,129714,16,-0.805,-0.134
3d,129715,26,0.644,1.317
3d,129716,29,1.066,0.894
3d,129717,29,-0.95,-1.022
3d,129718,28,1.015,1.74
3d,129719,27,1.127,0.585
3d,129720,16,-0.141,0.368
3d,129721,29,0.09,-0.422
3d,129722,21,-1.331,-0.484
3d,129723,26,-0.557,-0.582
3d,129724,23,-0.411,-0.154
3d,129725,30,0.27,-0.05
3d,129726,24,0.58,0.22
3d,129727,21,-0.913,-0.333
3d,129728,18,-0.114,-0.051
3d,129729,22,-0.35,-0.305
3d,129730,17,-0.511,-0.179
3d,129731,27,0.921,0.675
3d,129732,21,-0.988,-0.275
3d,129733,18,-1.169,-0.297
3d,129734,26,0.419,-0.085
3d,129735,26,1.355,1.108
3d,129736,28,-0.752,-0.757
3d,129737,23,1.153,0.885
3d,129738,28,1.086,1.012
3d,129739,19,-0.903,-0.234
3d,129740,24,0.638,-0.207
3d,129741,22,1.174,-0.064
3d,129742,26,1.062,1.06
3d,129743,22,0.865,0.709
3d,129744,19,-1.148,-0.374
3d,129745,28,0.987,0.327
3d,129746,25,0.805,-0.427
3d,129747,21,0.786,0.165
3d,129748,20,-1.276,-0.4
3d,129749,22,1.772,0.237
3d,129750,23,0.276,-0.294
3d,129751,23,0.398,-0.079
3d,129752,22,-1.277,-0.505
3d,129753,23,0.807,0.912
3d,129754,22,1.197,0.191
3d,129755,20,-0.173,0.07
3d,129756,28,1.56,2.235
3d,129757,24,0.38,-0.104
3d,129758,21,-0.512,0.01
3d,129759,18,-1.186,-0.302
3d,129760,17,-0.913,-0.213
3d,129761,25,-0.692,-0.482
3d,129762,17,-1.013,-0.183
3d,129763,24,0.346,-0.445
3d,129764,24,0.81,-0.327
3d,129765,24,-0.28,-0.303
3d,129766,20,0.724,-0.042
3d,129767,21,-0.563,-0.467
3d,129768,17,-0.554,-0.157
3d,129769,27,1.58,1.468
3d,129770,24,1.363,1.169
3d,129771,19,-0.916,-0.283
3d,129772,24,0.058,-0.352
3d,129773,22,-0.558,-0.159
3d,129774,30,0.028,-0.167
3d,129775,24,0.043,0.049
3d,129776,30,0.771,0.51
3d,129777,19,-0.89,-0.37
3d,129778,24,-0.096,-0.158
3d,129779,23,0.223,-0.161
3d,129780,26,0.978,1.167
3d,129782,24,0.496,-0.179
3d,129783,30,0.416,-0.691
3d,129784,26,1.282,1.247
3d,129785,30,0.994,1.245
3d,129786,25,1.073,0.029
3d,129787,26,0.801,0.713
3d,129788,25,-1.192,-0.652
3d,129789,24,1.029,-0.325
3d,129790,20,-0.098,-0.038
3d,129791,20,-1.009,-0.379
3d,129792,27,1.142,0.808
3d,129793,21,-0.043,-0.152
3d,129794,22,-0.816,-0.363
3d,129795,24,1.053,-0.071
3d,129796,29,1.349,1.913
3d,129797,30,1.154,1.559
3d,129798,29,1.341,1.599
3d,129799,30,1.372,2
3d,129800,27,-0.869,-0.742
3d,129801,27,-1.287,-0.799
3d,129802,16,-0.566,-0.135
3d,129803,27,1.43,2.134
3d,129804,18,-1.17,-0.264
3d,129805,25,0.656,-0.565
3d,129806,18,1.478,2.077
3d,129807,19,-0.934,0.047
3d,129808,23,-0.461,-0.38
3d,129809,16,-1.069,-0.152
3d,129810,19,-0.954,-0.207
3d,129811,24,-1.39,-0.668
3d,129812,23,0.867,0.565
3d,129813,30,1.324,2.306
3d,129814,24,0.56,0.125
3d,129815,21,-0.812,-0.479
3d,129816,19,-0.52,-0.194
3d,129817,25,0.248,-0.245
3d,129818,21,-0.468,-0.439
3d,129819,17,-0.331,-0.098
3d,129820,18,-0.297,-0.106
3d,129821,19,-0.838,-0.27
3d,129822,29,1.442,2.109
3d,129823,18,-0.934,-0.279
3d,129824,22,-0.953,-0.373
3d,129825,16,-0.458,-0.093
3d,129826,24,0.335,-0.177
3d,129827,17,-1.084,-0.167
3d,129828,19,-0.782,-0.32
3d,129829,21,0.9,0.558
3d,129830,22,0.237,0.076
3d,129831,27,0.678,0.113
3d,129832,28,-1.794,-1.02
3d,129833,23,1.014,0.538
3d,129834,19,-0.369,-0.304
3d,129835,30,0.497,0.238
3d,129836,24,1.315,0.192
3d,129837,24,-1.517,-0.662
3d,129838,24,-0.059,0.019
3d,129839,27,-0.884,-0.796
3d,129840,26,-0.258,-0.56
3d,129841,26,-0.054,-0.536
3d,129842,29,0.37,-0.479
3d,129843,17,-0.651,-0.027
3d,129844,21,1.368,0.906
3d,129845,28,1.169,1.405
3d,129846,26,1.07,1.713
3d,129847,21,-0.914,-0.133
3d,129848,26,0.908,0.87
3d,129849,30,0.708,-0.037
3d,129850,26,0.382,0.014
3d,129851,22,1.132,1.432
3d,129852,29,0.256,0.862
3d,129853,27,1.171,1.157
3d,129854,25,0.624,-0.055
3d,129855,30,0.048,0.432
3d,129856,17,-0.93,-0.225
3d,129857,30,1.015,0.618
3d,129858,29,0.417,0.032
3d,129859,17,-0.791,-0.156
3d,129860,28,1.054,1.297
3d,129861,17,-0.781,-0.091
3d,129862,24,0.031,-0.055
3d,129863,23,0.695,1.228
3d,129864,25,-1.269,-0.097
3d,129865,17,0.229,-0.037
3d,129866,28,1.265,1.306
3d,129867,16,-0.526,-0.122
3d,129868,16,-1.054,-0.147
3d,129869,17,-0.656,-0.093
3d,129871,27,0.697,0.072
3d,129872,28,0.672,0.089
3d,129873,29,0.008,0.038
3d,129874,21,-0.43,-0.069
3d,129875,29,1.394,1.327
3d,129876,25,-0.501,-0.411
3d,129879,29,0.688,0.847
3d,129880,30,-0.059,-0.137
3d,129881,30,-0.12,-0.519
3d,129882,30,0.258,-0.616
3d,129883,30,-0.822,-0.662
3d,129884,30,-0.888,-0.768
3d,129885,30,0.942,1.09
3d,129886,30,1.081,0.451
3d,129887,30,1.387,1.595
3d,129888,30,0.639,0.922
3d,129889,30,1.232,1.393
3d,129890,30,1.095,1.055
3d,129891,26,-0.521,-0.56
3d,129892,25,0.053,0.068
3d,129893,25,-0.076,-0.285
3d,129894,25,0.221,0.427
3d,129895,28,-0.028,-0.719
3d,129896,25,1.104,0.529
3d,129897,26,1.388,1.007
3d,129898,26,1.212,1.742
3d,129899,26,-1.311,-0.851
3d,129900,25,0.715,0.393
3d,129901,26,0.775,0.303
3d,129902,25,0.788,-0.505
3d,129903,25,1.002,0.316
3d,129904,25,1.567,2.116
3d,129905,18,-0.682,-0.15
3d,129906,18,-0.801,-0.203
3d,129907,18,1.255,0.627
3d,129908,18,-1.03,-0.298
3d,129909,18,-1.154,-0.298
3d,129910,18,-0.3,-0.238
3d,129911,18,-1.023,-0.254
3d,129912,18,-0.855,-0.203
3d,129913,18,-0.026,0.07
3d,129914,18,-0.59,0.144
3d,129915,22,-0.366,-0.258
3d,129916,19,0.616,-0.01
3d,129917,19,0.926,0.088
3d,129918,20,0.715,0.376
3d,129919,19,-1.314,-0.367
3d,129920,19,-0.736,-0.335
3d,129921,20,-0.831,-0.021
3d,129922,19,-0.889,-0.16
3d,129923,21,-1.335,-0.445
3d,129924,21,-0.623,-0.297
3d,129925,20,-0.861,-0.373
3d,129926,21,1.611,0.235
3d,129927,20,1.617,0.575
3d,129928,20,-1.026,-0.362
3d,129929,19,0.37,0.061
3d,129930,20,0.039,-0.291
3d,129931,20,-0.825,-0.263
3d,129932,19,0.579,0.375
3d,129933,29,-1.079,-0.841
3d,129934,28,0.812,0.168
3d,129935,28,1.265,0.64
3d,129936,28,0.864,0.141
3d,129937,27,-0.192,-0.089
3d,129938,27,1.313,1.605
3d,129939,27,-0.828,-0.378
3d,129940,29,1.345,2.294
3d,129941,27,1.238,0.668
3d,129942,27,0.646,0.444
3d,129943,29,0.832,0.654
3d,129944,28,0.28,-0.612
3d,129945,27,0.942,1.043
3d,129946,27,0.236,-0.35
3d,129947,26,1.607,1.882
3d,129948,27,1.439,0.967
3d,129949,27,-0.816,-0.472
3d,129950,27,0.297,-0.063
3d,129951,27,-0.584,-0.652
3d,129952,27,-0.388,-0.783
3d,129953,27,-1.089,-0.726
3d,129954,26,-0.472,2.415
3d,129955,27,0.414,-0.396
3d,129956,26,-0.841,-0.561
3d,129957,26,0.848,1.264
3d,129958,26,0.279,-0.115
3d,129959,26,0.321,0.425
3d,129960,26,-0.54,0.15
3d,129961,25,-0.812,-0.561
3d,129962,24,0.965,0.85
3d,129963,25,-0.623,-0.617
3d,129964,24,0.779,-0.061
3d,129965,26,0.594,0.14
3d,129966,25,0.386,0.143
3d,129967,24,0.243,-0.111
3d,129968,21,-1.048,-0.384
3d,129969,21,1.414,0.927
3d,129970,21,-0.611,-0.19
3d,129971,20,-1.145,-0.38
3d,129972,21,-1.001,-0.395
3d,129973,20,0.777,0.108
3d,129974,24,1.308,0.554
3d,129975,24,-0.992,-0.634
3d,129976,24,-0.003,-0.14
3d,129977,24,-1.289,-0.671
3d,129978,23,-0.059,-0.146
3d,129979,24,-1.29,-0.511
3d,129980,23,0.607,0.552
3d,129981,24,-0.997,-0.562
3d,129982,23,-0.941,-0.449
3d,129983,24,0.909,1.596
3d,129984,25,-0.915,-0.615
3d,129985,24,0.16,-0.568
3d,129986,24,-0.89,-0.557
3d,129987,23,1.773,1.103
3d,129988,25,1.104,1.904
3d,129989,26,-0.795,-0.185
3d,129990,19,1.231,0.583
3d,129991,19,0.461,-0.035
3d,129992,20,0.291,0.052
3d,129993,19,1.73,0.934
3d,129994,25,0.5,0.276
3d,129995,24,-0.032,-0.177
3d,129996,24,1.089,1.212
3d,129997,23,-0.144,-0.322
3d,129998,23,-0.713,-0.448
3d,129999,23,0.248,-0.043
3d,130000,23,0.331,-0.28
3d,130001,23,0.797,0.3
3d,130002,24,-0.345,-0.467
3d,130003,22,1.227,0.651
3d,130004,23,0.058,-0.065
3d,130005,22,-1.416,-0.533
3d,130006,22,0.493,0.119
3d,130007,21,0.041,-0.295
3d,130008,21,-1.082,-0.419
3d,130009,21,-0.513,-0.351
3d,130010,21,0.55,0.665
3d,130011,21,0.256,-0.043
3d,130012,21,-0.147,-0.314
3d,130013,23,-0.383,-0.04
3d,130014,22,-0.319,-0.319
3d,130015,22,-0.448,-0.236
3d,130016,23,-1.447,-0.63
3d,130017,22,-0.441,-0.158
3d,130018,22,0.032,-0.227
3d,130019,22,-0.915,-0.564
3d,130020,24,-0.954,-0.609
3d,130021,24,-1.589,-0.731
3d,130022,23,0.501,0.045
3d,130023,23,-0.019,-0.065
3d,130024,22,1.258,1.216
3d,130025,16,-0.944,-0.157
3d,130026,16,-0.949,-0.153
3d,130027,16,-1.068,-0.093
3d,130028,17,-0.975,-0.181
3d,130029,28,0.315,0.221
3d,130030,29,1.248,1.083
3d,130031,28,0.236,-0.303
3d,130032,20,-0.672,-0.423
3d,130033,19,-0.575,-0.255
3d,130034,18,-0.989,-0.299
3d,130035,17,-0.97,-0.167
3d,130036,17,-0.857,-0.202
3d,130038,17,0.161,0.292
3d,130039,17,-1.022,-0.165
3d,130040,17,-0.618,0.025
3d,130041,17,-0.685,-0.161
3d,130042,16,-0.428,-0.058
3d,130043,18,-0.789,-0.24
3d,130044,18,-0.457,-0.176
3d,130045,18,-0.153,-0.241
3d,130046,17,-0.83,-0.179
3d,130047,18,1.449,0.164
3d,130048,17,-1.062,-0.225
3d,130049,17,-1.046,-0.197
3d,130050,16,-0.611,-0.094
3d,130051,16,-1.013,-0.124
3d,130052,28,0.596,0.276
3d,130053,28,0,-0.692
3d,130054,28,0.22,0.23
3d,130055,18,-0.949,-0.151
3d,130056,27,1.602,1.687
3d,130057,28,1.219,0.294
3d,130058,27,0.691,0.53
