ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_AGE_C2	D_MALE	D_FIRSTB	D_MOMCOL	D_AGESEX	D_AG2SEX
129242	0.893203883495146	0.418604651162791	0.888888888888889	0.642857142857143	0.952380952380952	0.764705882352941	0.878787878787879	0.96	0.78	0.576923076923077	0.67741935483871	0.724137931034483	0.545454545454545	0.416666666666667	0.722222222222222	0.857142857142857	4	16	-1	-1	-1	-4	-16
129243	0.592233009708738	0.697674418604651	0.851851851851852	0.714285714285714	0.301587301587302	0.735294117647059	0.666666666666667	0.8	0.64	0.384615384615385	0.516129032258065	0.379310344827586	0.409090909090909	0.75	0.722222222222222	0.5	-2	4	-1	-1	-1	2	-4
129244	0.174757281553398	0.27906976744186	0.481481481481481	0.321428571428571	0.174603174603175	0.352941176470588	0.212121212121212	0.68	0.26	0.192307692307692	0.193548387096774	0.241379310344828	0.272727272727273	0.916666666666667	0.333333333333333	0.285714285714286	3	9	-1	-1	1	-3	-9
129245	0.669902912621359	0.209302325581395	0.444444444444444	0.178571428571429	0.349206349206349	0.220588235294118	0.424242424242424	0.8	0.48	0.269230769230769	0.548387096774194	0.310344827586207	0.272727272727273	0.75	0.333333333333333	0.214285714285714	4	16	1	-1	-1	4	16
129246	0.543689320388349	0.162790697674419	0.222222222222222	0.0357142857142857	0.238095238095238	0.147058823529412	0.151515151515152	0.6	0.22	0.192307692307692	0.0967741935483871	0.241379310344828	0	0.833333333333333	0.166666666666667	0.214285714285714	-4	16	-1	-1	-1	4	-16
129247	0.718446601941748	1	0.888888888888889	0.642857142857143	0.682539682539683	0.823529411764706	0.696969696969697	0.96	0.88	0.653846153846154	0.709677419354839	0.758620689655172	0.590909090909091	0.916666666666667	1	0.857142857142857	7	49	-1	-1	-1	-7	-49
129248	0.922330097087379	0.372093023255814	0.888888888888889	0.285714285714286	0.746031746031746	0.588235294117647	0.818181818181818	0.96	0.8	0.576923076923077	0.645161290322581	0.551724137931034	0.454545454545455	0.75	0.555555555555556	0.785714285714286	2	4	1	-1	-1	2	4
129249	0.970873786407767	0.813953488372093	0.925925925925926	0.892857142857143	0.952380952380952	0.941176470588235	0.909090909090909	0.84	0.94	0.5	1	0.96551724137931	0.909090909090909	0.75	0.888888888888889	0.642857142857143	1	1	1	-1	-1	1	1
129250	0.961165048543689	0.674418604651163	0.888888888888889	0.75	0.920634920634921	0.911764705882353	0.727272727272727	0.92	0.88	0.692307692307692	0.645161290322581	0.724137931034483	0.590909090909091	0.416666666666667	0.777777777777778	0.785714285714286	5	25	-1	-1	-1	-5	-25
129251	0	0	0	0	0	0	0	0.08	0	0	0	0.0689655172413793	0	0.25	0	0	-5	25	-1	-1	-1	5	-25
