coef,value
age_c,-0.7427120565741693
total_WG,1.1723084918336117
I(age_c^2),-0.013877671256819343
I(total_WG^2),-7.313308559506316e-4
I(age_c^3),0.00742053221665331
I(total_WG^3),4.944393252511431e-6
age_c:total_WG,0.012212506394997309
I(age_c^2):I(total_WG^2),-5.1895728079734666e-6
I(age_c^3):I(total_WG^3),7.011481877004875e-10
