     0.126     0.535     0.741     0.179     0.143     0.485     0.242     0.440     0.200     0.077     0.161     0.207     0.273     0.833     0.278     0.429    24.000    -1.000     1.000129274.000     1.974
     0.029     0.140     0.074     0.036     0.079     0.103     0.030     0.480     0.020     0.000     0.000     0.207     0.182     0.750     0.167     0.143    25.000    -1.000     1.000129275.000     1.305
     0.049     0.070     0.296     0.071     0.000     0.118     0.030     0.360     0.040     0.000     0.000     0.034     0.000     1.000     0.111     0.214    16.000    -1.000    -1.000129276.000     1.190
     0.000     0.000     0.148     0.036     0.016     0.015     0.000     0.240     0.000     0.000     0.000     0.138     0.000     0.417     0.000     0.000    19.000    -1.000    -1.000129277.000     1.034
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.034     0.000     0.250     0.000     0.000    18.000    -1.000     1.000129278.000     0.885
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.080     0.000     0.000     0.000     0.103     0.000     0.250     0.000     0.000    17.000    -1.000     1.000129279.000     0.902
     0.010     0.116     0.074     0.036     0.048     0.118     0.000     0.240     0.040     0.000     0.032     0.207     0.091     0.500     0.167     0.071    18.000    -1.000     1.000129280.000     1.161
     0.049     0.000     0.185     0.000     0.000     0.000     0.000     0.280     0.000     0.000     0.000     0.103     0.000     0.167     0.222     0.071    19.000    -1.000    -1.000129281.000     1.084
     0.738     0.512     0.926     0.500     0.508     0.838     0.636     0.960     0.700     0.231     0.548     0.448     0.682     0.583     0.778     0.714    23.000    -1.000    -1.000129282.000     3.416
     0.000     0.070     0.037     0.071     0.000     0.000     0.000     0.080     0.000     0.115     0.000     0.207     0.000     0.583     0.000     0.071    16.000    -1.000     1.000129283.000     0.993
     0.068     0.419     0.259     0.071     0.032     0.471     0.242     0.160     0.260     0.000     0.065     0.172     0.045     0.833     0.222     0.071    23.000    -1.000    -1.000129284.000     1.643
     0.068     0.186     0.296     0.107     0.079     0.118     0.061     0.440     0.080     0.038     0.161     0.241     0.091     0.667     0.389     0.286    20.000    -1.000    -1.000129285.000     1.521
     0.107     0.326     0.667     0.214     0.127     0.485     0.303     0.480     0.260     0.423     0.387     0.276     0.364     1.000     0.556     0.571    28.000    -1.000     1.000129286.000     2.287
     0.728     0.116     0.148     0.036     0.778     0.074     0.879     0.840     0.960     0.500     0.645     0.690     0.227     0.083     0.056     0.071    22.000    -1.000     1.000129287.000     2.770
     0.078     1.000     0.667     0.536     0.079     1.000     0.636     0.480     0.620     0.000     0.645     0.621     0.682     0.833     1.000     1.000    30.000    -1.000     1.000129288.000     3.296
     0.097     0.395     0.333     0.214     0.127     0.279     0.182     0.480     0.140     0.231     0.065     0.241     0.227     1.000     0.333     0.143    25.000    -1.000    -1.000129289.000     1.798
     0.291     0.000     0.741     0.393     0.333     0.500     0.333     0.600     0.440     0.038     0.194     0.379     0.227     0.000     0.333     0.714    23.000    -1.000     1.000129290.000     2.277
     0.233     0.535     0.481     0.500     0.095     0.324     0.273     0.360     0.440     0.077     0.387     0.241     0.182     0.750     1.000     0.500    21.000    -1.000     1.000129291.000     2.336
     0.165     0.163     0.222     0.107     0.079     0.147     0.030     0.320     0.100     0.115     0.065     0.138     0.000     0.167     0.222     0.071    23.000    -1.000    -1.000129292.000     1.397
     0.379     0.302     0.519     0.500     0.365     0.603     0.485     0.480     0.620     0.192     0.258     0.345     0.364     0.083     0.500     0.357    24.000    -1.000    -1.000129293.000     2.627
     0.049     0.140     0.148     0.071     0.016     0.191     0.030     0.360     0.040     0.038     0.065     0.241     0.091     0.500     0.111     0.143    23.000    -1.000    -1.000129294.000     1.345
     0.058     0.093     0.148     0.071     0.048     0.147     0.030     0.360     0.100     0.038     0.000     0.241     0.091     0.667     0.278     0.143    19.000    -1.000    -1.000129295.000     1.347
