"","D_AGE_C","D_MALE"
"L_ACTION",1,0
"L_ANIMAL",1,0
"L_BODYP",1,0
"L_CLOTH",0,1
"L_DESCRB",1,1
"L_FOOD",1,0
"L_ROOMS",1,0
"L_GAMES",1,1
"L_HOUSEH",0,0
"L_LOCATE",1,0
"L_OUTSDE",1,1
"L_PEOPLE",1,0
"L_PLACES",1,0
"L_SOUNDS",1,0
"L_TOYS",1,0
"L_VEHICL",1,0
