ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	FIRST_B	MALE
130229	0	0.0476190476190476	0.08	0.0588235294117647	0.142857142857143	0	0	0	0	0	0	0.0388349514563107	0.116279069767442	0.148148148148148	0.107142857142857	0.0317460317460317	0.147058823529412	0	0.24	0.1	0.153846153846154	0.0967741935483871	0.206896551724138	0.0454545454545455	0.416666666666667	0.277777777777778	0.214285714285714	-1	1
130230	0.666666666666667	0.761904761904762	0.84	0.705882352941177	0.571428571428571	0.666666666666667	0.6	0.7	0.285714285714286	0.161290322580645	0.945945945945946	0.961165048543689	0.976744186046512	0.962962962962963	0.964285714285714	0.888888888888889	0.941176470588235	0.848484848484849	1	0.94	0.884615384615385	0.967741935483871	0.931034482758621	0.590909090909091	0.916666666666667	0.944444444444444	1	1	-1
130231	0	0.285714285714286	0.2	0.294117647058824	0.142857142857143	0.583333333333333	0.2	0.35	0	0	0.108108108108108	0.349514563106796	0.418604651162791	0.777777777777778	0.607142857142857	0.396825396825397	0.573529411764706	0.757575757575758	0.88	0.62	0.576923076923077	0.645161290322581	0.413793103448276	0.454545454545455	0.666666666666667	0.555555555555556	0.5	-1	-1
130232	0	0.142857142857143	0.2	0.294117647058824	0	0.5	0.4	0.15	0	0.032258064516129	0.27027027027027	0.631067961165049	0.790697674418605	0.888888888888889	0.607142857142857	0.492063492063492	0.75	0.666666666666667	0.88	0.76	0.192307692307692	0.580645161290323	0.517241379310345	0.409090909090909	0.916666666666667	0.833333333333333	0.928571428571429	-1	1
130233	0	0	0.12	0.0588235294117647	0	0	0	0	0	0	0	0.0194174757281553	0.348837209302326	0.222222222222222	0.214285714285714	0.0952380952380952	0.147058823529412	0.0303030303030303	0.44	0.18	0.115384615384615	0.290322580645161	0.275862068965517	0	0.833333333333333	0.333333333333333	0.428571428571429	-1	1
130234	0.166666666666667	0.523809523809524	0.4	0.647058823529412	0.857142857142857	0.916666666666667	0.4	0.55	0.285714285714286	0.161290322580645	0.810810810810811	0.951456310679612	0.883720930232558	1	0.928571428571429	0.825396825396825	0.985294117647059	0.939393939393939	0.84	0.9	0.769230769230769	0.935483870967742	0.758620689655172	0.772727272727273	0.916666666666667	0.944444444444444	0.857142857142857	1	-1
130235	0.5	0.0476190476190476	0.16	0.176470588235294	0.285714285714286	0.5	0.4	0.3	0.214285714285714	0.129032258064516	0.162162162162162	0.864077669902913	0.790697674418605	0.777777777777778	0.75	0.603174603174603	0.882352941176471	0.878787878787879	0.96	0.74	0.538461538461538	0.67741935483871	0.586206896551724	0.590909090909091	0.75	0.777777777777778	0.785714285714286	1	-1
130236	0	0.238095238095238	0.2	0.235294117647059	0.571428571428571	0.166666666666667	0.4	0.05	0	0	0.243243243243243	0.446601941747573	0.627906976744186	0.777777777777778	0.428571428571429	0.365079365079365	0.588235294117647	0.545454545454545	0.68	0.6	0.230769230769231	0.580645161290323	0.413793103448276	0.181818181818182	0.833333333333333	0.5	0.857142857142857	1	1
130237	0.166666666666667	0.0476190476190476	0.28	0.0588235294117647	0.285714285714286	0.25	0.4	0.2	0.0714285714285714	0.129032258064516	0.540540540540541	0.737864077669903	0.581395348837209	0.888888888888889	0.642857142857143	0.603174603174603	0.823529411764706	0.666666666666667	1	0.74	0.153846153846154	0.580645161290323	0.620689655172414	0.454545454545455	0.833333333333333	0.722222222222222	0.571428571428571	1	-1
130238	0	0	0.08	0.0588235294117647	0	0	0	0	0	0	0.0810810810810811	0.0388349514563107	0.209302325581395	0.111111111111111	0.0714285714285714	0.126984126984127	0.161764705882353	0.0909090909090909	0.36	0.16	0.0769230769230769	0.193548387096774	0.379310344827586	0.0454545454545455	0.666666666666667	0.222222222222222	0.214285714285714	1	-1
130239	0	0	0	0.117647058823529	0	0	0.4	0	0	0	0.162162162162162	0.16504854368932	0.372093023255814	0.703703703703704	0.321428571428571	0.238095238095238	0.602941176470588	0.303030303030303	0.6	0.3	0.230769230769231	0.419354838709677	0.275862068965517	0.181818181818182	0.416666666666667	0.555555555555556	0.571428571428571	-1	-1
130240	0	0	0.04	0	0	0.0833333333333333	0.4	0	0.285714285714286	0	0	0.00970873786407767	0.0697674418604651	0.259259259259259	0.178571428571429	0	0.102941176470588	0.0606060606060606	0.08	0.1	0.0384615384615385	0	0.103448275862069	0.0454545454545455	0.25	0.222222222222222	0.214285714285714	1	1
130241	0.333333333333333	0	0.08	0.0588235294117647	0.142857142857143	0.166666666666667	0.4	0.05	0.214285714285714	0.032258064516129	0	0.106796116504854	0.13953488372093	0.407407407407407	0.214285714285714	0.142857142857143	0.220588235294118	0.151515151515152	0.36	0.22	0.153846153846154	0.161290322580645	0.241379310344828	0.0909090909090909	0.25	0.222222222222222	0.142857142857143	1	-1
130242	0.5	0.476190476190476	0.48	0.647058823529412	0.428571428571429	0.166666666666667	0.4	0.25	0.285714285714286	0.0967741935483871	0	0.339805825242718	0.674418604651163	0.555555555555556	0.464285714285714	0.428571428571429	0.602941176470588	0.484848484848485	0.6	0.4	0.384615384615385	0.419354838709677	0.517241379310345	0.272727272727273	0.5	0.888888888888889	0.714285714285714	-1	1
130243	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0.00970873786407767	0.0232558139534884	0.111111111111111	0.0357142857142857	0	0.0441176470588235	0.0606060606060606	0.28	0.02	0	0	0.0689655172413793	0.0454545454545455	0.333333333333333	0.111111111111111	0.214285714285714	-1	1
130244	0	0.19047619047619	0.48	0	0.428571428571429	0.666666666666667	0.6	0.15	0	0	0.540540540540541	0.737864077669903	0.418604651162791	0.62962962962963	0.857142857142857	0.476190476190476	0.691176470588235	0.848484848484849	0.88	0.86	0.230769230769231	0.354838709677419	0.620689655172414	0.363636363636364	0.75	0.555555555555556	0.357142857142857	-1	-1
