     0.893     0.419     0.889     0.643     0.952     0.765     0.879     0.960     0.780     0.577     0.677     0.724     0.545     0.417     0.722     0.857     0.500     0.714     0.360     0.471     0.000     0.583     0.600     0.500     0.143     0.065     0.378    -1.000    -1.000    -1.000     3.000    -9.000     9.000    -3.000129242.000     1.104
     0.592     0.698     0.852     0.714     0.302     0.735     0.667     0.800     0.640     0.385     0.516     0.379     0.409     0.750     0.722     0.500     0.167     0.000     0.200     0.235     0.714     0.167     0.400     0.350     0.000     0.000     0.405    -1.000    -1.000    -1.000    -3.000    -9.000     9.000     3.000129243.000     0.321
     0.175     0.279     0.481     0.321     0.175     0.353     0.212     0.680     0.260     0.192     0.194     0.241     0.273     0.917     0.333     0.286     0.333     0.190     0.200     0.294     0.286     0.250     0.400     0.050     0.214     0.032     0.027    -1.000    -1.000     1.000     2.000    -4.000     4.000    -2.000129244.000    -0.793
     0.670     0.209     0.444     0.179     0.349     0.221     0.424     0.800     0.480     0.269     0.548     0.310     0.273     0.750     0.333     0.214     0.000     0.095     0.320     0.118     0.286     0.250     0.400     0.100     0.357     0.161     0.000     1.000    -1.000    -1.000     3.000     9.000     9.000     3.000129245.000    -0.484
     0.544     0.163     0.222     0.036     0.238     0.147     0.152     0.600     0.220     0.192     0.097     0.241     0.000     0.833     0.167     0.214     0.000     0.000     0.000     0.059     0.000     0.083     0.400     0.050     0.000     0.000     0.000    -1.000    -1.000    -1.000    -5.000   -25.000    25.000     5.000129246.000    -1.178
     0.718     1.000     0.889     0.643     0.683     0.824     0.697     0.960     0.880     0.654     0.710     0.759     0.591     0.917     1.000     0.857     0.500     0.571     0.600     0.647     0.571     0.333     0.400     0.850     0.000     0.161     0.649    -1.000    -1.000    -1.000     6.000   -36.000    36.000    -6.000129247.000     1.277
     0.922     0.372     0.889     0.286     0.746     0.588     0.818     0.960     0.800     0.577     0.645     0.552     0.455     0.750     0.556     0.786     0.333     0.476     0.120     0.706     0.143     0.333     0.400     0.100     0.000     0.000     0.000     1.000    -1.000    -1.000     1.000     1.000     1.000     1.000129248.000     0.588
     0.971     0.814     0.926     0.893     0.952     0.941     0.909     0.840     0.940     0.500     1.000     0.966     0.909     0.750     0.889     0.643     0.500     0.619     0.400     0.588     0.571     0.750     0.600     0.400     0.286     0.065     0.108     1.000    -1.000    -1.000     0.000     0.000     0.000     0.000129249.000     1.646
     0.961     0.674     0.889     0.750     0.921     0.912     0.727     0.920     0.880     0.692     0.645     0.724     0.591     0.417     0.778     0.786     1.000     1.000     0.920     0.647     0.857     0.417     1.000     0.750     0.000     0.000     0.838    -1.000    -1.000    -1.000     4.000   -16.000    16.000    -4.000129250.000     1.561
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.080     0.000     0.000     0.000     0.069     0.000     0.250     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.000    -1.000    -1.000    -6.000   -36.000    36.000     6.000129251.000    -1.919
     0.903     0.628     0.963     0.893     0.746     0.912     0.818     0.840     1.000     0.731     0.613     0.759     0.545     0.583     1.000     0.786     0.333     0.476     0.640     0.412     0.571     0.083     0.400     0.650     0.143     0.097     0.811    -1.000    -1.000    -1.000     5.000   -25.000    25.000    -5.000129252.000     1.322
     0.214     0.326     0.519     0.464     0.127     0.471     0.212     0.400     0.300     0.308     0.258     0.103     0.091     0.583     0.667     0.357     0.167     0.048     0.080     0.294     0.143     0.000     0.400     0.100     0.214     0.065     0.243    -1.000    -1.000    -1.000     2.000    -4.000     4.000    -2.000129253.000    -0.786
