type,category,definition
word,action_words,push
word,action_words,put
word,action_words,read
word,action_words,ride
word,action_words,run
word,action_words,say
word,action_words,see
word,action_words,show
word,action_words,sing
word,action_words,sleep
word,action_words,smile
word,action_words,splash
word,action_words,stop
word,action_words,swim
word,action_words,swing (action)
word,action_words,take
word,action_words,throw
word,action_words,tickle
word,action_words,touch
word,action_words,watch (action)
word,action_words,walk
word,action_words,wash
word,action_words,wipe
word,action_words,write
word,time_words,day
word,time_words,later
word,time_words,morning
word,time_words,night
word,time_words,now
word,time_words,today
word,time_words,tomorrow
word,time_words,tonight
word,descriptive_words,all gone
word,descriptive_words,asleep
word,descriptive_words,bad
word,descriptive_words,big
word,descriptive_words,blue
word,descriptive_words,broken
word,descriptive_words,careful
word,descriptive_words,clean (description)
word,descriptive_words,cold
word,descriptive_words,cute
word,descriptive_words,dark
word,descriptive_words,dirty
word,descriptive_words,dry (description)
word,descriptive_words,empty
word,descriptive_words,fast
word,descriptive_words,fine
word,descriptive_words,gentle
word,descriptive_words,good
word,descriptive_words,happy
word,descriptive_words,hard
word,descriptive_words,hot
word,descriptive_words,hungry
word,descriptive_words,hurt
word,descriptive_words,little (description)
word,descriptive_words,naughty
word,descriptive_words,nice
word,descriptive_words,old
word,descriptive_words,pretty
word,descriptive_words,red
word,descriptive_words,scared
word,descriptive_words,sick
word,descriptive_words,sleepy
word,descriptive_words,soft
word,descriptive_words,thirsty
word,descriptive_words,tired
word,descriptive_words,wet
word,descriptive_words,yucky
word,pronouns,his
word,pronouns,her
word,pronouns,I
word,pronouns,it
word,pronouns,me
word,pronouns,mine
word,pronouns,my
word,pronouns,that
word,pronouns,this
word,pronouns,you
word,pronouns,your
word,question_words,how
word,question_words,what
word,question_words,when
word,question_words,where
word,question_words,who
word,question_words,why
word,locations,away
word,locations,back
word,locations,down
word,locations,in
word,locations,inside
word,locations,off
word,locations,on
word,locations,out
word,locations,there
word,locations,under
word,locations,up
word,quantifiers,all
word,quantifiers,another
word,quantifiers,more
word,quantifiers,none
word,quantifiers,not
word,quantifiers,other
word,quantifiers,same
word,quantifiers,some
gestures_first,NA,armshow
gestures_first,NA,reachout
gestures_first,NA,points
gestures_first,NA,waves
gestures_first,NA,pickup
gestures_first,NA,shakhead
gestures_first,NA,nodhead
gestures_first,NA,showhush
gestures_first,NA,request
gestures_first,NA,blowkiss
gestures_first,NA,smacklip
gestures_first,NA,shrugs
gestures_games,NA,playpeek
gestures_games,NA,patycak2
gestures_games,NA,sobig
gestures_games,NA,chase
gestures_games,NA,dosing
gestures_games,NA,dodance
gestures_objects,NA,eatspoon
gestures_objects,NA,drinkcup
gestures_objects,NA,combhair
gestures_objects,NA,bshteeth
gestures_objects,NA,wipeface
gestures_objects,NA,puthat
gestures_objects,NA,putshoe
gestures_objects,NA,putwatch
gestures_objects,NA,ptdsleep
gestures_objects,NA,blowhot
gestures_objects,NA,flyplane
gestures_objects,NA,ptndtele
gestures_objects,NA,snifflow
gestures_objects,NA,pushcar
gestures_objects,NA,throwges
gestures_objects,NA,ptndpour
gestures_objects,NA,ptndstir
gestures_parent,NA,putobed
gestures_parent,NA,cover
gestures_parent,NA,feedbotl
gestures_parent,NA,feedspon
gestures_parent,NA,brushit
gestures_parent,NA,burbit
gestures_parent,NA,pushit
gestures_parent,NA,rockit
gestures_parent,NA,kissit
gestures_parent,NA,dressit
gestures_parent,NA,wipeit
gestures_parent,NA,talkit
gestures_parent,NA,diaperit
gestures_adult,NA,sweep
gestures_adult,NA,putkey
gestures_adult,NA,pound
gestures_adult,NA,usesaw
gestures_adult,NA,type
gestures_adult,NA,ptndread
gestures_adult,NA,dovacuum
gestures_adult,NA,waterplt
gestures_adult,NA,playmus
gestures_adult,NA,ptnddriv
gestures_adult,NA,washdish
gestures_adult,NA,usecloth
gestures_adult,NA,usepen
gestures_adult,NA,dig
gestures_adult,NA,wearglas
