     0.500     0.714     0.360     0.471     0.000     0.583     0.600     0.500     0.143     0.065     0.378     4.000    -1.000    -1.000    -1.000    -4.000    16.000129242.000     0.691
     0.167     0.000     0.200     0.235     0.714     0.167     0.400     0.350     0.000     0.000     0.405    -2.000    -1.000    -1.000    -1.000     2.000     4.000129243.000     0.252
     0.333     0.190     0.200     0.294     0.286     0.250     0.400     0.050     0.214     0.032     0.027     3.000    -1.000    -1.000     1.000    -3.000     9.000129244.000    -0.153
     0.000     0.095     0.320     0.118     0.286     0.250     0.400     0.100     0.357     0.161     0.000     4.000     1.000    -1.000    -1.000     4.000    16.000129245.000    -0.370
     0.000     0.000     0.000     0.059     0.000     0.083     0.400     0.050     0.000     0.000     0.000    -4.000    -1.000    -1.000    -1.000     4.000    16.000129246.000    -0.260
     0.500     0.571     0.600     0.647     0.571     0.333     0.400     0.850     0.000     0.161     0.649     7.000    -1.000    -1.000    -1.000    -7.000    49.000129247.000     0.860
     0.333     0.476     0.120     0.706     0.143     0.333     0.400     0.100     0.000     0.000     0.000     2.000     1.000    -1.000    -1.000     2.000     4.000129248.000     0.293
     0.500     0.619     0.400     0.588     0.571     0.750     0.600     0.400     0.286     0.065     0.108     1.000     1.000    -1.000    -1.000     1.000     1.000129249.000     1.002
     1.000     1.000     0.920     0.647     0.857     0.417     1.000     0.750     0.000     0.000     0.838     5.000    -1.000    -1.000    -1.000    -5.000    25.000129250.000     1.736
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -5.000    -1.000    -1.000    -1.000     5.000    25.000129251.000    -0.297
     0.333     0.476     0.640     0.412     0.571     0.083     0.400     0.650     0.143     0.097     0.811     6.000    -1.000    -1.000    -1.000    -6.000    36.000129252.000     0.606
     0.167     0.048     0.080     0.294     0.143     0.000     0.400     0.100     0.214     0.065     0.243     3.000    -1.000    -1.000    -1.000    -3.000     9.000129253.000    -0.383
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -5.000     1.000    -1.000    -1.000    -5.000    25.000129254.000    -0.293
     0.000     0.048     0.000     0.059     0.143     0.250     0.200     0.050     0.000     0.000     0.027     1.000     1.000    -1.000    -1.000     1.000     1.000129255.000    -0.523
     0.000     0.048     0.080     0.000     0.143     0.083     0.200     0.050     0.000     0.032     0.054     5.000     1.000    -1.000    -1.000     5.000    25.000129256.000    -0.837
     0.167     0.048     0.080     0.176     0.429     0.250     0.400     0.150     0.000     0.000     0.162     1.000     1.000    -1.000    -1.000     1.000     1.000129257.000    -0.214
     0.000     0.000     0.080     0.059     0.000     0.167     0.200     0.000     0.000     0.000     0.027     3.000     1.000    -1.000    -1.000     3.000     9.000129258.000    -0.729
