CandID,Candidate_Age,Date_taken,sibling1_age,sibling2_age,sibling3_age,sibling4_age,sibling5_age,sibling6_age
826838,24.8,2015-07-15,3,NA,NA,NA,NA,NA
348836,24.8,2015-07-15,5,NA,NA,NA,NA,NA
496671,23.9,2015-07-15,3,NA,NA,NA,NA,NA
468239,24.8,2015-07-15,2,NA,NA,NA,NA,NA
130011,25.1,2015-07-15,4,NA,NA,NA,NA,NA
860252,24.2,2015-07-15,4,NA,NA,NA,NA,NA
382979,24.7,2015-07-15,5,NA,NA,NA,NA,NA
796916,22.7,2015-07-15,7,5,NA,NA,NA,NA
602406,22.7,2015-07-15,4,NA,NA,NA,NA,NA
693807,22.8,2015-07-15,4,NA,NA,NA,NA,NA
721783,23,2015-07-15,0.25 (3 months),NA,NA,NA,NA,NA
933150,24.3,2015-07-15,4,NA,NA,NA,NA,NA
936550,22.7,2015-07-15,4,NA,NA,NA,NA,NA
680747,24.1,2015-07-15,4,NA,NA,NA,NA,NA
669100,22.6,2015-07-15,0.8,NA,NA,NA,NA,NA
629234,23.9,2015-07-15,13,3.5,0.75,NA,NA,NA
605530,24.8,2015-07-15,4,NA,NA,NA,NA,NA
721765,24.7,2015-07-15,5,NA,NA,NA,NA,NA
779045,24.1,2015-07-15,3.5,NA,NA,NA,NA,NA
335280,23.9,2015-07-15,5,NA,NA,NA,NA,NA
607629,23.3,2015-07-15,4,NA,NA,NA,NA,NA
856465,24.8,2015-07-15,0.9,NA,NA,NA,NA,NA
381725,24.8,2015-07-15,12,10,19,NA,NA,NA
701036,24,2015-07-15,0.33,NA,NA,NA,NA,NA
163695,25.1,2015-07-15,0 (2 months),NA,NA,NA,NA,NA
443900,22.4,2015-07-15,7,NA,NA,NA,NA,NA
785478,25.2,2015-07-15,4,0.5,NA,NA,NA,NA
197429,24.4,2015-07-15,3,NA,NA,NA,NA,NA
380451,24.9,2015-07-15,5,NA,NA,NA,NA,NA
988817,24.6,2015-07-15,7,NA,NA,NA,NA,NA
372060,22.5,2015-07-15,9,7,2months,NA,NA,NA
717226,24.6,2015-07-15,3.5,NA,NA,NA,NA,NA
952506,25.2,2015-07-15,14,11,NA,NA,NA,NA
444278,23,2015-07-15,7,5,NA,NA,NA,NA
837561,23.3,2015-07-15,3,NA,NA,NA,NA,NA
640017,25.1,2015-07-15,4,NA,NA,NA,NA,NA
484673,22.6,2015-07-16,5,NA,NA,NA,NA,NA
995627,24.8,2015-07-16,6,NA,NA,NA,NA,NA
569233,22.3,2015-07-16,7,5,NA,NA,NA,NA
424100,22.7,2015-07-16,6,5,NA,NA,NA,NA
632928,22.5,2015-07-16,5,NA,NA,NA,NA,NA
189620,22.5,2015-07-16,4,NA,NA,NA,NA,NA
418407,24.2,2015-07-16,4.5,6 months,NA,NA,NA,NA
784633,25.2,2015-07-16,4 months- 0 years,NA,NA,NA,NA,NA
458889,24.9,2015-07-17,7,NA,NA,NA,NA,NA
564287,24.7,2015-07-17,3 months,NA,NA,NA,NA,NA
449828,22.5,2015-07-19,5,NA,NA,NA,NA,NA
319985,25.6,2015-07-19,4,NA,NA,NA,NA,NA
287389,24.1,2015-07-20,9 months,NA,NA,NA,NA,NA
406676,24.9,2015-07-21,5,2,NA,NA,NA,NA
688228,23.5,2015-07-21,3,NA,NA,NA,NA,NA
444755,23.1,2015-07-24,7,3.5,NA,NA,NA,NA
497002,23.8,2015-07-24,4,NA,NA,NA,NA,NA
650166,23.1,2015-07-24,11,NA,NA,NA,NA,NA
109055,24.6,2015-07-24,4,16,NA,NA,NA,NA
249593,23.8,2015-07-24,Five,NA,NA,NA,NA,NA
573342,24.9,2015-07-24,0.25,NA,NA,NA,NA,NA
646915,24.1,2015-07-24,16,12,NA,NA,NA,NA
523437,22.7,2015-07-24,5,5,NA,NA,NA,NA
669034,25.1,2015-07-24,6,3,NA,NA,NA,NA
529037,25.4,2015-07-24,4 months,NA,NA,NA,NA,NA
863470,23.1,2015-07-24,5,NA,NA,NA,NA,NA
217266,22.9,2015-07-24,6.75,3.5,NA,NA,NA,NA
127765,24.6,2015-07-25,2,NA,NA,NA,NA,NA
290168,23.8,2015-07-25,9,8,NA,NA,NA,NA
384692,25.5,2015-07-25,5,NA,NA,NA,NA,NA
