gender,age_bin,n,lex_fit_pvalue,lex_fit_cfi,lex_fit_tli,lex_fit_rmsea,lex_fit_srmr,syn_fit_pvalue,syn_fit_cfi,syn_fit_tli,syn_fit_rmsea,syn_fit_srmr,dx
Female,16,529,0,0.9803108641562733,0.9630828702930125,0.10517265600603778,0.02304325028928826,4.223165118111272e-5,0.9744263926655811,0.9520494862479645,0.07824139709520968,0.02990106212985302,NA
Female,20,239,0.01761687016279967,0.9954820357285213,0.9915288169909776,0.05408309900684203,0.011500090009869499,0.31735394146709073,0.998435073554155,0.9970657629140406,0.02610898335736603,0.020435340888563542,NA
Female,24,227,5.1946810052605485e-5,0.9897018899603485,0.9806910436756534,0.08200219973567872,0.012394399145978558,0.034371554222159983,0.9933449837917465,0.9875218446095247,0.068878229746253,0.013467015666062628,NA
Female,28,433,6.733658075575022e-11,0.9869784641780787,0.9755846203338975,0.08435035485078658,0.014025815092097105,0.022459151500292984,0.996014315869209,0.9925268422547667,0.053297509127791604,0.010685111778498098,NA
Female,33-36,178,1.130181503938843e-10,0.9631754927345544,0.9309540488772894,0.13037164963545242,0.02930582023857259,0.08426906057164019,0.9947488212448935,0.9901540398341753,0.06439670893980722,0.012807155250445524,NA
Male,16,574,0,0.9835208177799295,0.9691015333373678,0.08921135176440585,0.02076827464924365,8.876115740708013e-5,0.9812388106250283,0.9648227699219281,0.07247005513562864,0.027665629588034833,NA
Male,20,230,7.082111036882388e-5,0.9896699743573499,0.9806312019200311,0.08039993615320122,0.01721824875671378,3.692899699814234e-5,0.9743254267365702,0.951860175131069,0.11939290469180663,0.026404580326661122,NA
Male,24,222,3.543299607885464e-4,0.9918694118793132,0.9847551472737122,0.07578403742726048,0.012769420197319862,0.005928614234484653,0.9874335010567503,0.9764378144814069,0.08718976228114518,0.019378962110861105,NA
Male,28,498,4.166849643105763e-9,0.9910958574938942,0.9833047328010516,0.07271831956471998,0.013507553127332124,0.0057869877102567635,0.9955954673634423,0.9917415013064543,0.05835301368331639,0.00987949455293782,NA
Male,33-36,186,5.313166129283786e-9,0.9725044944145318,0.9484459270272472,0.11837932830048203,0.02216435409997486,0.053474952157070654,0.994156161738878,0.9890428032603962,0.07006738659700444,0.014449659492827917,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,16,582,0,0.9774927695304345,0.9577989428695648,0.11200106504930658,0.02298159399907398,2.337335436308763e-9,0.9667884108825323,0.9377282704047482,0.10197696657442407,0.031641317577501916,FALSE
NA,20,238,6.115062152201034e-7,0.9862962807974297,0.9743055264951807,0.09320035972127098,0.015006642102159297,0.045303467129391706,0.9930062239946819,0.9868866699900285,0.0640131723317763,0.015239282731270554,FALSE
NA,24,238,4.6904268552261374e-4,0.9917669561440967,0.9845630427701815,0.0720933627889825,0.013145685990748087,0.16746991557012025,0.9972170664140215,0.9947819995262903,0.043789483598840814,0.01168920184992689,FALSE
NA,28,564,1.955025030753177e-11,0.9885228859898273,0.9784804112309262,0.07546774585115823,0.015640389451350625,0.04561542119754014,0.9975658302457219,0.9954359317107285,0.04152876297195747,0.008698171112759508,FALSE
NA,33-36,205,5.515175827142116e-8,0.9756542966009734,0.9543518061268251,0.10694150241437599,0.023260412770527907,0.13695970717250538,0.9964419611691906,0.9933286771922324,0.05140015693654405,0.013531723935076512,FALSE
NA,16,102,3.521434453590544e-5,0.9630251752564346,0.9306722036058148,0.12429266271349906,0.03504453839244065,0.5504037490582249,1,1.0203621198741681,0,0.03649650213255017,TRUE
NA,20,51,0.03527058997002408,0.9799828453318008,0.9624678349971266,0.10667055122467003,0.02995706384542658,0.023501164627046545,0.7966199961003153,0.6186624926880911,0.15427676052269992,0.09119956436879888,TRUE
NA,24,51,1.2727592689776301e-6,0.9516203437543876,0.9092881445394767,0.19708802705739706,0.023511260922927706,0.0030895644822263035,0.9312017049785204,0.8710031968347256,0.19316055960370274,0.052565221355409204,TRUE
NA,28,97,3.6577380842228724e-4,0.9799397062264588,0.9623869491746102,0.1144555249861385,0.018523199132372773,0.0941709104209254,0.989798715175885,0.9808725909547844,0.08459669872329287,0.021009542559375177,TRUE
NA,33-36,56,2.919171753212879e-7,0.9238094644701177,0.8571427458814707,0.19609904066173237,0.043511245018117005,0.2850335546038971,0.9957185990514504,0.9919723732214696,0.062009882905026244,0.018297783057370107,TRUE
NA,16,419,7.706391080830599e-12,0.9836416442375285,0.9693280829453661,0.08888602144467997,0.021073386828611113,0.017186432994693135,0.9806475348281325,0.9637141278027483,0.05621918649937156,0.02936811727610843,Unknown
NA,20,180,3.08493578582425e-4,0.9890563665051715,0.9794806871971965,0.08477520729797468,0.016688100656560134,0.12459010236123047,0.9910453674858254,0.9832100640359226,0.0568067963118017,0.03366790927741249,Unknown
NA,24,160,0.01199672784416761,0.9929770958902759,0.9868320547942674,0.06899998658231435,0.012370081179019266,0.09293768820394721,0.9932296922179173,0.98730567290859506,0.06611708197041523,0.01656401894368334,Unknown
NA,28,270,0.025811040701391397,0.9958718420640419,0.9922597038700786,0.048484544339231904,0.009661089255558022,0.022912494547691287,0.9940719015166115,0.9888848153436466,0.06729952351628517,0.013798324026411103,Unknown
NA,33-36,103,7.227612078830603e-7,0.9580077672640224,0.9212645636200419,0.141000012575253,0.03193550623195963,4.130452195559853e-4,0.9689602991959804,0.9418005609924631,0.15712895735273696,0.027994323372912345,Unknown
