age_bin,sex,birth_order,n,lex_fit_pvalue,lex_fit_cfi,lex_fit_tli,lex_fit_rmsea,lex_fit_srmr,syn_fit_pvalue,syn_fit_cfi,syn_fit_tli,syn_fit_rmsea,syn_fit_srmr
"[16,20]",NA,NA,2273,0,0.98967543906406,0.9806414482451123,0.08055572655587938,0.014720694631687688,1.1123535426094122e-10,0.9928707290216572,0.9866326169156073,0.05507838419389003,0.013129999877120409
"(20,24]",NA,NA,1248,0,0.9938407253649535,0.9884513600592879,0.06335507601430712,0.010130754545988751,3.39040330366025e-7,0.9940188451968902,0.9887853347441691,0.06103060339168685,0.012924178821288539
"(24,28]",NA,NA,1506,0,0.9886423415902055,0.9787043904816353,0.0827901357749765,0.013297535221733848,1.106722266275284e-6,0.9962706814489989,0.993007527716873,0.05348629541730098,0.010140820327010086
"(28,36]",NA,NA,493,0,0.9769847926083443,0.9568464861406455,0.11143849077566026,0.02128833841570078,5.015026372416909e-4,0.9931958027821858,0.9872421302165983,0.07096222485198722,0.014390258982869166
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Female,NA,1989,0,0.9935826809584606,0.9879675267971135,0.07459919972295326,0.0076922243035865544,4.808826670199551e-10,0.9969408889458528,0.994264166773474,0.05712819436686663,0.0058671009507590185
NA,Male,NA,2105,0,0.989251965175661,0.9798474347043644,0.09516628621425861,0.009926455721347087,0,0.9935933601062796,0.9879875501992744,0.08008550488136158,0.007098373391148571
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,First,1429,0,0.9933631959285334,0.9875559923660001,0.07190847971519618,0.008671711981813334,1.4923500624153263e-4,0.9979723517870803,0.9961981596007756,0.044710407779767584,0.005434770245385564
NA,NA,Later,1347,0,0.9914789604569787,0.984023050856835,0.0798415769242513,0.01141374794950587,1.2740517529863382e-9,0.9950773621229495,0.9907700539805303,0.06795995955135949,0.006875528626138265
