     0.893     0.419     0.889     0.643     0.952     0.765     0.879     0.960     0.780     0.577     0.677     0.724     0.545     0.417     0.722     0.857     4.000    16.000    -1.000    -1.000    -1.000   -16.000    -4.000129242.000     0.763
     0.592     0.698     0.852     0.714     0.302     0.735     0.667     0.800     0.640     0.385     0.516     0.379     0.409     0.750     0.722     0.500    -2.000     4.000    -1.000    -1.000    -1.000    -4.000     2.000129243.000     0.616
     0.175     0.279     0.481     0.321     0.175     0.353     0.212     0.680     0.260     0.192     0.194     0.241     0.273     0.917     0.333     0.286     3.000     9.000    -1.000    -1.000     1.000    -9.000    -3.000129244.000    -0.767
     0.670     0.209     0.444     0.179     0.349     0.221     0.424     0.800     0.480     0.269     0.548     0.310     0.273     0.750     0.333     0.214     4.000    16.000     1.000    -1.000    -1.000    16.000     4.000129245.000    -0.515
     0.544     0.163     0.222     0.036     0.238     0.147     0.152     0.600     0.220     0.192     0.097     0.241     0.000     0.833     0.167     0.214    -4.000    16.000    -1.000    -1.000    -1.000   -16.000     4.000129246.000    -0.611
     0.718     1.000     0.889     0.643     0.683     0.824     0.697     0.960     0.880     0.654     0.710     0.759     0.591     0.917     1.000     0.857     7.000    49.000    -1.000    -1.000    -1.000   -49.000    -7.000129247.000     0.658
     0.922     0.372     0.889     0.286     0.746     0.588     0.818     0.960     0.800     0.577     0.645     0.552     0.455     0.750     0.556     0.786     2.000     4.000     1.000    -1.000    -1.000     4.000     2.000129248.000     0.556
     0.971     0.814     0.926     0.893     0.952     0.941     0.909     0.840     0.940     0.500     1.000     0.966     0.909     0.750     0.889     0.643     1.000     1.000     1.000    -1.000    -1.000     1.000     1.000129249.000     1.461
     0.961     0.674     0.889     0.750     0.921     0.912     0.727     0.920     0.880     0.692     0.645     0.724     0.591     0.417     0.778     0.786     5.000    25.000    -1.000    -1.000    -1.000   -25.000    -5.000129250.000     0.821
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.080     0.000     0.000     0.000     0.069     0.000     0.250     0.000     0.000    -5.000    25.000    -1.000    -1.000    -1.000   -25.000     5.000129251.000    -1.213
     0.903     0.628     0.963     0.893     0.746     0.912     0.818     0.840     1.000     0.731     0.613     0.759     0.545     0.583     1.000     0.786     6.000    36.000    -1.000    -1.000    -1.000   -36.000    -6.000129252.000     0.852
     0.214     0.326     0.519     0.464     0.127     0.471     0.212     0.400     0.300     0.308     0.258     0.103     0.091     0.583     0.667     0.357     3.000     9.000    -1.000    -1.000    -1.000    -9.000    -3.000129253.000    -0.683
